County,Case Count,Death Count,Hospitalized Count,fips
Adams,85,4,9,39001
Allen,1028,49,152,39003
Ashland,162,3,22,39005
Ashtabula,595,46,94,39007
Athens,374,2,21,39009
Auglaize,366,8,35,39011
Belmont,676,26,49,39013
Brown,191,2,20,39015
Butler,3536,69,335,39017
Carroll,123,6,16,39019
Champaign,237,2,18,39021
Clark,1360,21,113,39023
Clermont,1174,13,109,39025
Clinton,220,7,33,39027
Columbiana,1773,63,191,39029
Coshocton,210,9,28,39031
Crawford,189,5,28,39033
Cuyahoga,15088,552,2357,39035
Darke,551,31,64,39037
Defiance,192,5,30,39039
Delaware,1546,20,87,39041
Erie,720,35,107,39043
Fairfield,1609,39,128,39045
Fayette,175,1,20,39047
Franklin,20794,554,1768,39049
Fulton,178,1,14,39051
Gallia,129,2,26,39053
Geauga,595,46,100,39055
Greene,896,16,94,39057
Guernsey,129,7,17,39059
Hamilton,10663,281,1042,39061
Hancock,489,6,42,39063
Hardin,205,13,36,39065
Harrison,28,1,5,39067
Henry,174,2,17,39069
Highland,185,3,24,39071
Hocking,132,9,23,39073
Holmes,342,7,32,39075
Huron,462,6,46,39077
Jackson,142,0,12,39079
Jefferson,263,4,53,39081
Knox,238,13,36,39083
Lake,1262,44,145,39085
Lawrence,397,7,44,39087
Licking,1512,56,119,39089
Logan,223,2,17,39091
Lorain,2036,81,212,39093
Lucas,6149,339,829,39095
Madison,655,11,39,39097
Mahoning,2795,262,444,39099
Marion,2991,45,105,39101
Medina,1110,36,106,39103
Meigs,87,0,9,39105
Mercer,775,14,80,39107
Miami,996,40,106,39109
Monroe,102,18,16,39111
Montgomery,5144,115,719,39113
Morgan,43,0,0,39115
Morrow,217,2,19,39117
Muskingum,294,1,30,39119
Noble,21,0,2,39121
Ottawa,436,28,48,39123
Paulding,77,0,10,39125
Perry,216,5,19,39127
Pickaway,2456,42,98,39129
Pike,97,0,12,39131
Portage,834,65,118,39133
Preble,320,3,44,39135
Putnam,273,17,33,39137
Richland,679,16,90,39139
Ross,626,9,81,39141
Sandusky,483,17,70,39143
Scioto,312,1,31,39145
Seneca,296,10,33,39147
Shelby,308,4,30,39149
Stark,2192,150,291,39151
Summit,4219,232,589,39153
Trumbull,1715,116,325,39155
Tuscarawas,840,16,96,39157
Union,333,1,17,39159
Van Wert,81,2,9,39161
Vinton,36,2,8,39163
Warren,2155,41,174,39165
Washington,223,23,17,39167
Wayne,672,61,77,39169
Williams,152,3,9,39171
Wood,1255,60,119,39173
Wyandot,176,10,14,39175
