County,Case Count,Death Count,Hospitalized Count,fips
Adams,61,2,4,39001
Allen,760,44,120,39003
Ashland,149,3,21,39005
Ashtabula,574,46,92,39007
Athens,359,1,20,39009
Auglaize,256,6,26,39011
Belmont,621,26,47,39013
Brown,138,2,14,39015
Butler,2944,63,308,39017
Carroll,110,5,15,39019
Champaign,178,2,11,39021
Clark,1158,14,90,39023
Clermont,941,11,82,39025
Clinton,165,6,24,39027
Columbiana,1665,60,183,39029
Coshocton,194,6,25,39031
Crawford,174,5,27,39033
Cuyahoga,13640,500,2213,39035
Darke,402,29,45,39037
Defiance,148,4,21,39039
Delaware,1316,19,81,39041
Erie,592,27,89,39043
Fairfield,1400,32,113,39045
Fayette,115,0,13,39047
Franklin,18483,525,1594,39049
Fulton,147,1,14,39051
Gallia,65,1,11,39053
Geauga,558,44,98,39055
Greene,703,12,72,39057
Guernsey,118,7,17,39059
Hamilton,9689,255,971,39061
Hancock,379,3,34,39063
Hardin,169,12,28,39065
Harrison,26,1,5,39067
Henry,117,2,10,39069
Highland,159,1,19,39071
Hocking,118,9,22,39073
Holmes,328,6,32,39075
Huron,401,5,36,39077
Jackson,75,0,8,39079
Jefferson,234,2,44,39081
Knox,206,7,27,39083
Lake,1124,38,134,39085
Lawrence,288,0,28,39087
Licking,1299,49,106,39089
Logan,155,2,11,39091
Lorain,1802,78,192,39093
Lucas,5377,323,774,39095
Madison,388,10,35,39097
Mahoning,2566,254,422,39099
Marion,2929,45,102,39101
Medina,930,35,95,39103
Meigs,50,0,3,39105
Mercer,625,13,69,39107
Miami,853,38,84,39109
Monroe,93,18,15,39111
Montgomery,4398,94,615,39113
Morgan,28,0,0,39115
Morrow,172,2,17,39117
Muskingum,239,1,25,39119
Noble,16,0,2,39121
Ottawa,390,26,46,39123
Paulding,70,0,9,39125
Perry,136,3,13,39127
Pickaway,2387,42,94,39129
Pike,77,0,11,39131
Portage,765,61,115,39133
Preble,204,2,27,39135
Putnam,208,17,28,39137
Richland,608,12,77,39139
Ross,490,4,62,39141
Sandusky,384,17,61,39143
Scioto,234,1,23,39145
Seneca,222,3,20,39147
Shelby,200,4,26,39149
Stark,1844,139,254,39151
Summit,3573,223,533,39153
Trumbull,1534,107,300,39155
Tuscarawas,788,14,85,39157
Union,254,1,15,39159
Van Wert,72,1,6,39161
Vinton,31,2,7,39163
Warren,1803,39,152,39165
Washington,205,22,16,39167
Wayne,544,58,68,39169
Williams,135,3,9,39171
Wood,1058,58,105,39173
Wyandot,148,8,12,39175
