County,Case Count,Death Count,Hospitalized Count,fips
Adams,48,2,3,39001
Allen,571,41,99,39003
Ashland,118,4,16,39005
Ashtabula,517,44,85,39007
Athens,326,1,16,39009
Auglaize,182,5,19,39011
Belmont,586,26,44,39013
Brown,91,1,10,39015
Butler,2476,57,287,39017
Carroll,101,5,15,39019
Champaign,86,1,9,39021
Clark,1023,12,79,39023
Clermont,739,10,72,39025
Clinton,132,5,20,39027
Columbiana,1510,60,166,39029
Coshocton,179,5,25,39031
Crawford,158,5,27,39033
Cuyahoga,11938,460,2072,39035
Darke,281,26,30,39037
Defiance,118,4,21,39039
Delaware,1095,17,71,39041
Erie,458,24,72,39043
Fairfield,1102,21,100,39045
Fayette,73,0,7,39047
Franklin,16042,496,1370,39049
Fulton,127,0,13,39051
Gallia,46,1,11,39053
Geauga,509,43,91,39055
Greene,568,11,59,39057
Guernsey,101,6,17,39059
Hamilton,8633,233,885,39061
Hancock,269,2,22,39063
Hardin,146,12,27,39065
Harrison,17,1,5,39067
Henry,96,1,10,39069
Highland,103,1,15,39071
Hocking,102,9,20,39073
Holmes,313,5,26,39075
Huron,343,3,32,39077
Jackson,59,0,6,39079
Jefferson,185,2,32,39081
Knox,131,2,17,39083
Lake,957,29,117,39085
Lawrence,191,0,16,39087
Licking,985,29,86,39089
Logan,104,1,8,39091
Lorain,1513,75,185,39093
Lucas,4304,312,723,39095
Madison,285,9,31,39097
Mahoning,2306,249,402,39099
Marion,2836,42,91,39101
Medina,775,32,87,39103
Meigs,23,0,1,39105
Mercer,456,13,55,39107
Miami,698,35,75,39109
Monroe,89,17,15,39111
Montgomery,3653,58,532,39113
Morgan,17,0,0,39115
Morrow,150,2,14,39117
Muskingum,153,1,19,39119
Noble,16,0,2,39121
Ottawa,321,24,38,39123
Paulding,55,0,8,39125
Perry,78,1,10,39127
Pickaway,2324,42,86,39129
Pike,53,0,8,39131
Portage,676,59,109,39133
Preble,126,2,23,39135
Putnam,177,16,22,39137
Richland,491,9,71,39139
Ross,300,5,45,39141
Sandusky,288,16,55,39143
Scioto,145,1,14,39145
Seneca,117,3,15,39147
Shelby,126,4,21,39149
Stark,1563,126,234,39151
Summit,3011,216,485,39153
Trumbull,1324,96,274,39155
Tuscarawas,726,12,80,39157
Union,195,1,12,39159
Van Wert,62,1,6,39161
Vinton,27,2,7,39163
Warren,1451,33,133,39165
Washington,185,21,16,39167
Wayne,452,58,61,39169
Williams,110,3,9,39171
Wood,795,58,92,39173
Wyandot,110,5,9,39175
