County,Case Count,Death Count,Hospitalized Count,fips
Adams,26,1,2,39001
Allen,356,41,74,39003
Ashland,67,2,10,39005
Ashtabula,447,44,81,39007
Athens,139,1,9,39009
Auglaize,109,4,14,39011
Belmont,569,22,45,39013
Brown,61,1,8,39015
Butler,1821,47,241,39017
Carroll,67,3,13,39019
Champaign,51,1,6,39021
Clark,800,10,67,39023
Clermont,473,7,59,39025
Clinton,81,1,17,39027
Columbiana,1378,60,158,39029
Coshocton,142,3,17,39031
Crawford,138,5,22,39033
Cuyahoga,8979,393,1694,39035
Darke,256,26,28,39037
Defiance,53,3,17,39039
Delaware,698,15,59,39041
Erie,271,22,48,39043
Fairfield,667,17,65,39045
Fayette,55,0,7,39047
Franklin,11724,445,1205,39049
Fulton,67,0,11,39051
Gallia,20,1,6,39053
Geauga,425,43,86,39055
Greene,343,9,35,39057
Guernsey,82,3,15,39059
Hamilton,6781,207,782,39061
Hancock,86,1,11,39063
Hardin,123,12,23,39065
Harrison,13,1,4,39067
Henry,33,0,5,39069
Highland,50,1,9,39071
Hocking,80,9,16,39073
Holmes,259,5,21,39075
Huron,240,2,25,39077
Jackson,28,0,3,39079
Jefferson,109,2,21,39081
Knox,53,1,10,39083
Lake,589,23,94,39085
Lawrence,83,0,8,39087
Licking,568,12,62,39089
Logan,71,1,6,39091
Lorain,1120,69,174,39093
Lucas,2952,305,643,39095
Madison,216,9,25,39097
Mahoning,1928,239,379,39099
Marion,2745,39,84,39101
Medina,582,32,78,39103
Meigs,13,0,0,39105
Mercer,299,10,51,39107
Miami,506,31,62,39109
Monroe,89,17,15,39111
Montgomery,2440,35,372,39113
Morgan,11,0,0,39115
Morrow,120,1,10,39117
Muskingum,100,1,15,39119
Noble,14,0,2,39121
Ottawa,173,24,31,39123
Paulding,30,0,6,39125
Perry,44,1,7,39127
Pickaway,2222,41,76,39129
Pike,28,0,6,39131
Portage,492,59,95,39133
Preble,90,1,14,39135
Putnam,137,15,21,39137
Richland,371,5,54,39139
Ross,144,3,31,39141
Sandusky,160,15,41,39143
Scioto,67,0,7,39145
Seneca,41,2,12,39147
Shelby,74,4,19,39149
Stark,1214,114,208,39151
Summit,2327,209,436,39153
Trumbull,1045,78,238,39155
Tuscarawas,604,10,71,39157
Union,93,1,10,39159
Van Wert,47,1,5,39161
Vinton,23,2,6,39163
Warren,977,25,95,39165
Washington,146,20,15,39167
Wayne,372,53,49,39169
Williams,76,2,7,39171
Wood,488,51,74,39173
Wyandot,63,5,7,39175
