County,Case Count,Death Count,Hospitalized Count,fips
Adams,69,2,5,39001
Allen,872,46,136,39003
Ashland,160,3,21,39005
Ashtabula,583,46,93,39007
Athens,366,2,21,39009
Auglaize,291,8,31,39011
Belmont,638,26,47,39013
Brown,157,2,17,39015
Butler,3164,69,316,39017
Carroll,116,5,15,39019
Champaign,198,2,15,39021
Clark,1249,16,102,39023
Clermont,1029,11,93,39025
Clinton,183,6,33,39027
Columbiana,1712,62,186,39029
Coshocton,201,9,26,39031
Crawford,183,5,27,39033
Cuyahoga,14278,529,2265,39035
Darke,450,30,52,39037
Defiance,164,4,25,39039
Delaware,1404,19,84,39041
Erie,630,30,97,39043
Fairfield,1492,35,117,39045
Fayette,129,0,14,39047
Franklin,19437,537,1677,39049
Fulton,162,1,14,39051
Gallia,88,2,21,39053
Geauga,565,45,98,39055
Greene,773,12,82,39057
Guernsey,121,7,17,39059
Hamilton,10101,269,1008,39061
Hancock,428,3,39,39063
Hardin,186,12,34,39065
Harrison,26,1,5,39067
Henry,128,2,11,39069
Highland,171,2,22,39071
Hocking,124,9,23,39073
Holmes,333,6,32,39075
Huron,418,5,38,39077
Jackson,81,0,10,39079
Jefferson,250,3,49,39081
Knox,223,9,34,39083
Lake,1170,43,143,39085
Lawrence,336,4,32,39087
Licking,1409,55,114,39089
Logan,181,2,12,39091
Lorain,1906,77,199,39093
Lucas,5673,329,794,39095
Madison,592,10,37,39097
Mahoning,2675,260,429,39099
Marion,2961,45,102,39101
Medina,993,36,99,39103
Meigs,66,0,6,39105
Mercer,682,14,72,39107
Miami,905,39,94,39109
Monroe,96,18,15,39111
Montgomery,4651,103,660,39113
Morgan,33,0,0,39115
Morrow,189,2,17,39117
Muskingum,266,1,28,39119
Noble,19,0,2,39121
Ottawa,411,27,48,39123
Paulding,74,0,9,39125
Perry,175,3,16,39127
Pickaway,2416,42,96,39129
Pike,82,0,11,39131
Portage,786,65,120,39133
Preble,250,2,33,39135
Putnam,224,17,31,39137
Richland,640,12,86,39139
Ross,535,6,64,39141
Sandusky,435,17,68,39143
Scioto,268,1,26,39145
Seneca,248,4,24,39147
Shelby,239,4,28,39149
Stark,2001,143,274,39151
Summit,3779,228,557,39153
Trumbull,1604,112,310,39155
Tuscarawas,808,14,89,39157
Union,287,1,16,39159
Van Wert,73,2,6,39161
Vinton,32,2,7,39163
Warren,1937,40,162,39165
Washington,212,22,17,39167
Wayne,588,60,70,39169
Williams,139,3,9,39171
Wood,1136,58,113,39173
Wyandot,159,9,13,39175
