County,Case Count,Death Count,Hospitalized Count,fips
Adams,30,2,2,39001
Allen,410,41,83,39003
Ashland,90,3,13,39005
Ashtabula,460,44,81,39007
Athens,234,1,10,39009
Auglaize,115,4,15,39011
Belmont,575,24,44,39013
Brown,65,1,9,39015
Butler,2012,48,259,39017
Carroll,76,3,14,39019
Champaign,61,1,7,39021
Clark,851,11,69,39023
Clermont,570,7,66,39025
Clinton,97,2,18,39027
Columbiana,1418,60,162,39029
Coshocton,160,4,20,39031
Crawford,146,5,22,39033
Cuyahoga,9985,406,1867,39035
Darke,262,26,28,39037
Defiance,62,3,17,39039
Delaware,829,15,61,39041
Erie,327,22,57,39043
Fairfield,787,17,69,39045
Fayette,58,0,7,39047
Franklin,13099,456,1251,39049
Fulton,74,0,12,39051
Gallia,24,1,6,39053
Geauga,448,42,87,39055
Greene,411,9,46,39057
Guernsey,85,4,15,39059
Hamilton,7415,211,819,39061
Hancock,103,1,12,39063
Hardin,129,12,23,39065
Harrison,16,1,4,39067
Henry,40,0,7,39069
Highland,61,1,9,39071
Hocking,90,8,18,39073
Holmes,278,5,25,39075
Huron,275,3,27,39077
Jackson,34,0,3,39079
Jefferson,140,2,26,39081
Knox,65,1,10,39083
Lake,679,23,100,39085
Lawrence,103,0,9,39087
Licking,664,14,72,39089
Logan,77,1,6,39091
Lorain,1243,71,177,39093
Lucas,3214,306,662,39095
Madison,237,9,27,39097
Mahoning,2027,240,387,39099
Marion,2764,39,85,39101
Medina,646,32,80,39103
Meigs,17,0,0,39105
Mercer,313,11,52,39107
Miami,539,31,65,39109
Monroe,89,17,15,39111
Montgomery,2777,42,418,39113
Morgan,13,0,0,39115
Morrow,132,1,10,39117
Muskingum,112,1,18,39119
Noble,14,0,2,39121
Ottawa,237,24,32,39123
Paulding,39,0,8,39125
Perry,53,1,7,39127
Pickaway,2249,42,82,39129
Pike,33,0,8,39131
Portage,525,59,104,39133
Preble,102,1,18,39135
Putnam,153,15,22,39137
Richland,412,7,61,39139
Ross,161,3,32,39141
Sandusky,191,15,47,39143
Scioto,90,0,11,39145
Seneca,48,2,12,39147
Shelby,79,4,19,39149
Stark,1294,117,219,39151
Summit,2499,211,451,39153
Trumbull,1094,80,247,39155
Tuscarawas,655,11,77,39157
Union,130,1,10,39159
Van Wert,52,1,5,39161
Vinton,24,2,6,39163
Warren,1124,27,105,39165
Washington,158,20,15,39167
Wayne,387,56,51,39169
Williams,86,2,7,39171
Wood,529,52,77,39173
Wyandot,70,5,6,39175
