County,Case Count,Death Count,Hospitalized Count,fips
Adams,64,2,5,39001
Allen,794,46,127,39003
Ashland,155,3,21,39005
Ashtabula,577,46,93,39007
Athens,361,2,21,39009
Auglaize,275,6,29,39011
Belmont,627,26,47,39013
Brown,150,2,16,39015
Butler,3033,64,311,39017
Carroll,113,5,15,39019
Champaign,188,2,15,39021
Clark,1213,15,97,39023
Clermont,962,11,89,39025
Clinton,171,6,27,39027
Columbiana,1683,60,184,39029
Coshocton,196,7,25,39031
Crawford,177,5,27,39033
Cuyahoga,13869,512,2237,39035
Darke,414,29,48,39037
Defiance,154,4,24,39039
Delaware,1365,19,82,39041
Erie,610,28,95,39043
Fairfield,1432,32,116,39045
Fayette,124,0,14,39047
Franklin,18965,531,1628,39049
Fulton,155,1,14,39051
Gallia,74,1,16,39053
Geauga,561,44,98,39055
Greene,730,12,79,39057
Guernsey,119,7,17,39059
Hamilton,9844,259,994,39061
Hancock,397,3,37,39063
Hardin,175,12,29,39065
Harrison,26,1,5,39067
Henry,122,2,10,39069
Highland,169,2,22,39071
Hocking,122,9,23,39073
Holmes,331,6,32,39075
Huron,411,5,38,39077
Jackson,77,0,9,39079
Jefferson,240,3,46,39081
Knox,214,7,31,39083
Lake,1146,42,138,39085
Lawrence,318,0,29,39087
Licking,1345,51,113,39089
Logan,167,2,11,39091
Lorain,1831,77,194,39093
Lucas,5512,326,784,39095
Madison,503,10,36,39097
Mahoning,2623,256,424,39099
Marion,2942,45,102,39101
Medina,959,36,95,39103
Meigs,58,0,5,39105
Mercer,641,13,71,39107
Miami,868,39,87,39109
Monroe,94,18,15,39111
Montgomery,4489,98,630,39113
Morgan,30,0,0,39115
Morrow,179,2,17,39117
Muskingum,248,1,27,39119
Noble,17,0,2,39121
Ottawa,404,26,50,39123
Paulding,70,0,9,39125
Perry,148,3,15,39127
Pickaway,2400,42,94,39129
Pike,80,0,11,39131
Portage,776,64,117,39133
Preble,212,2,27,39135
Putnam,212,17,28,39137
Richland,619,12,82,39139
Ross,509,4,64,39141
Sandusky,399,17,63,39143
Scioto,259,1,24,39145
Seneca,234,4,20,39147
Shelby,215,4,27,39149
Stark,1904,142,266,39151
Summit,3667,224,543,39153
Trumbull,1563,110,304,39155
Tuscarawas,797,14,85,39157
Union,273,1,15,39159
Van Wert,73,2,6,39161
Vinton,32,2,7,39163
Warren,1850,39,156,39165
Washington,211,22,17,39167
Wayne,554,59,68,39169
Williams,137,3,9,39171
Wood,1090,58,108,39173
Wyandot,151,9,13,39175
