County,Case Count,Death Count,Hospitalized Count,fips
Adams,59,2,4,39001
Allen,699,42,117,39003
Ashland,137,3,21,39005
Ashtabula,550,45,89,39007
Athens,353,1,20,39009
Auglaize,239,5,24,39011
Belmont,592,26,44,39013
Brown,123,2,13,39015
Butler,2822,62,299,39017
Carroll,110,5,15,39019
Champaign,157,1,11,39021
Clark,1115,14,85,39023
Clermont,892,11,81,39025
Clinton,158,6,22,39027
Columbiana,1618,60,177,39029
Coshocton,188,6,25,39031
Crawford,171,5,27,39033
Cuyahoga,13141,491,2177,39035
Darke,360,27,41,39037
Defiance,133,4,21,39039
Delaware,1263,19,82,39041
Erie,556,27,86,39043
Fairfield,1309,31,109,39045
Fayette,109,0,13,39047
Franklin,17834,521,1550,39049
Fulton,144,1,14,39051
Gallia,62,1,10,39053
Geauga,548,44,98,39055
Greene,656,11,67,39057
Guernsey,114,7,17,39059
Hamilton,9374,252,951,39061
Hancock,353,3,31,39063
Hardin,159,12,28,39065
Harrison,22,1,5,39067
Henry,113,2,10,39069
Highland,146,1,18,39071
Hocking,114,9,22,39073
Holmes,326,6,31,39075
Huron,388,5,36,39077
Jackson,73,0,8,39079
Jefferson,219,2,39,39081
Knox,191,7,24,39083
Lake,1073,38,131,39085
Lawrence,242,0,23,39087
Licking,1202,47,100,39089
Logan,140,2,10,39091
Lorain,1689,77,190,39093
Lucas,5155,320,769,39095
Madison,349,10,34,39097
Mahoning,2477,254,421,39099
Marion,2910,45,99,39101
Medina,887,35,93,39103
Meigs,33,0,2,39105
Mercer,573,13,65,39107
Miami,811,37,81,39109
Monroe,91,18,15,39111
Montgomery,4174,87,604,39113
Morgan,23,0,0,39115
Morrow,165,2,16,39117
Muskingum,215,1,24,39119
Noble,17,0,2,39121
Ottawa,368,25,45,39123
Paulding,64,0,8,39125
Perry,116,3,13,39127
Pickaway,2378,42,92,39129
Pike,75,0,10,39131
Portage,743,61,114,39133
Preble,176,2,24,39135
Putnam,199,17,24,39137
Richland,589,11,74,39139
Ross,444,4,61,39141
Sandusky,363,16,60,39143
Scioto,211,1,21,39145
Seneca,190,3,20,39147
Shelby,177,4,23,39149
Stark,1766,137,247,39151
Summit,3433,218,527,39153
Trumbull,1481,105,295,39155
Tuscarawas,762,14,82,39157
Union,233,1,14,39159
Van Wert,70,1,6,39161
Vinton,30,2,7,39163
Warren,1711,36,152,39165
Washington,198,22,16,39167
Wayne,519,58,68,39169
Williams,130,3,9,39171
Wood,993,58,101,39173
Wyandot,136,8,12,39175
