County,Case Count,Death Count,Hospitalized Count,fips
Adams,74,3,7,39001
Allen,899,46,142,39003
Ashland,162,3,21,39005
Ashtabula,588,46,93,39007
Athens,368,2,21,39009
Auglaize,310,8,33,39011
Belmont,644,26,47,39013
Brown,169,2,18,39015
Butler,3265,69,323,39017
Carroll,117,5,15,39019
Champaign,213,2,17,39021
Clark,1275,16,103,39023
Clermont,1062,11,95,39025
Clinton,189,6,34,39027
Columbiana,1733,62,186,39029
Coshocton,204,9,26,39031
Crawford,184,5,27,39033
Cuyahoga,14487,541,2291,39035
Darke,479,31,55,39037
Defiance,178,4,29,39039
Delaware,1441,19,85,39041
Erie,662,31,98,39043
Fairfield,1521,35,121,39045
Fayette,135,0,17,39047
Franklin,19818,542,1699,39049
Fulton,165,1,14,39051
Gallia,90,2,22,39053
Geauga,579,46,99,39055
Greene,812,14,85,39057
Guernsey,121,7,17,39059
Hamilton,10259,269,1017,39061
Hancock,444,3,39,39063
Hardin,190,12,35,39065
Harrison,27,1,5,39067
Henry,135,2,12,39069
Highland,175,2,22,39071
Hocking,129,9,23,39073
Holmes,338,7,32,39075
Huron,423,5,40,39077
Jackson,87,0,11,39079
Jefferson,256,3,50,39081
Knox,230,9,36,39083
Lake,1199,43,143,39085
Lawrence,364,5,37,39087
Licking,1443,55,115,39089
Logan,191,2,14,39091
Lorain,1945,77,206,39093
Lucas,5783,331,804,39095
Madison,601,11,37,39097
Mahoning,2702,261,433,39099
Marion,2968,45,103,39101
Medina,1015,36,102,39103
Meigs,70,0,6,39105
Mercer,705,14,76,39107
Miami,927,40,95,39109
Monroe,100,18,15,39111
Montgomery,4741,108,680,39113
Morgan,35,0,0,39115
Morrow,195,2,17,39117
Muskingum,275,1,29,39119
Noble,20,0,2,39121
Ottawa,418,27,49,39123
Paulding,75,0,9,39125
Perry,183,4,17,39127
Pickaway,2428,42,96,39129
Pike,85,0,11,39131
Portage,793,65,120,39133
Preble,268,2,39,39135
Putnam,235,17,32,39137
Richland,657,14,90,39139
Ross,561,6,73,39141
Sandusky,472,17,70,39143
Scioto,279,1,29,39145
Seneca,264,9,27,39147
Shelby,256,4,28,39149
Stark,2046,145,281,39151
Summit,3846,228,565,39153
Trumbull,1642,113,313,39155
Tuscarawas,818,14,92,39157
Union,297,1,16,39159
Van Wert,74,2,6,39161
Vinton,34,2,8,39163
Warren,1981,40,162,39165
Washington,217,22,17,39167
Wayne,608,60,72,39169
Williams,143,3,9,39171
Wood,1163,58,115,39173
Wyandot,164,10,14,39175
