County,Case Count,Death Count,Hospitalized Count,fips
Adams,68,2,5,39001
Allen,817,46,131,39003
Ashland,156,3,21,39005
Ashtabula,580,46,93,39007
Athens,364,2,21,39009
Auglaize,286,6,31,39011
Belmont,628,26,47,39013
Brown,150,2,16,39015
Butler,3070,64,314,39017
Carroll,114,5,15,39019
Champaign,192,2,15,39021
Clark,1218,15,98,39023
Clermont,981,11,91,39025
Clinton,174,6,30,39027
Columbiana,1699,60,185,39029
Coshocton,199,9,26,39031
Crawford,177,5,27,39033
Cuyahoga,13999,519,2246,39035
Darke,425,29,49,39037
Defiance,155,4,24,39039
Delaware,1378,19,83,39041
Erie,619,28,96,39043
Fairfield,1449,33,117,39045
Fayette,126,0,14,39047
Franklin,19124,533,1652,39049
Fulton,158,1,14,39051
Gallia,78,1,17,39053
Geauga,565,45,98,39055
Greene,742,12,78,39057
Guernsey,121,7,17,39059
Hamilton,9917,260,998,39061
Hancock,410,3,38,39063
Hardin,180,12,31,39065
Harrison,26,1,5,39067
Henry,124,2,10,39069
Highland,169,2,22,39071
Hocking,122,9,23,39073
Holmes,331,6,32,39075
Huron,413,5,37,39077
Jackson,78,0,9,39079
Jefferson,240,3,46,39081
Knox,218,9,33,39083
Lake,1154,43,140,39085
Lawrence,323,0,31,39087
Licking,1367,51,113,39089
Logan,169,2,11,39091
Lorain,1867,77,195,39093
Lucas,5544,324,789,39095
Madison,580,10,36,39097
Mahoning,2644,258,428,39099
Marion,2952,45,102,39101
Medina,977,36,96,39103
Meigs,63,0,6,39105
Mercer,668,13,71,39107
Miami,881,39,90,39109
Monroe,94,18,15,39111
Montgomery,4544,101,642,39113
Morgan,31,0,0,39115
Morrow,185,2,17,39117
Muskingum,256,1,28,39119
Noble,19,0,2,39121
Ottawa,405,27,50,39123
Paulding,72,0,9,39125
Perry,164,3,15,39127
Pickaway,2404,42,96,39129
Pike,80,0,11,39131
Portage,780,63,118,39133
Preble,219,2,28,39135
Putnam,215,17,28,39137
Richland,626,12,82,39139
Ross,520,4,64,39141
Sandusky,407,17,63,39143
Scioto,260,1,25,39145
Seneca,242,4,22,39147
Shelby,219,4,27,39149
Stark,1931,142,269,39151
Summit,3712,224,553,39153
Trumbull,1578,111,306,39155
Tuscarawas,801,14,87,39157
Union,277,1,15,39159
Van Wert,73,2,6,39161
Vinton,32,2,7,39163
Warren,1877,39,159,39165
Washington,212,22,17,39167
Wayne,567,59,68,39169
Williams,139,3,9,39171
Wood,1101,58,109,39173
Wyandot,155,9,13,39175
