County,Case Count,Death Count,Hospitalized Count,fips
Adams,53,2,3,39001
Allen,654,42,108,39003
Ashland,133,3,19,39005
Ashtabula,539,45,88,39007
Athens,345,1,20,39009
Auglaize,222,5,20,39011
Belmont,589,26,44,39013
Brown,112,1,10,39015
Butler,2714,59,293,39017
Carroll,108,5,15,39019
Champaign,138,1,10,39021
Clark,1086,13,80,39023
Clermont,855,11,79,39025
Clinton,148,6,21,39027
Columbiana,1582,60,171,39029
Coshocton,186,6,25,39031
Crawford,168,5,27,39033
Cuyahoga,12753,477,2141,39035
Darke,321,27,33,39037
Defiance,129,4,21,39039
Delaware,1206,18,79,39041
Erie,524,27,81,39043
Fairfield,1254,25,106,39045
Fayette,97,0,10,39047
Franklin,17254,514,1467,39049
Fulton,140,1,13,39051
Gallia,58,1,10,39053
Geauga,531,43,95,39055
Greene,626,11,65,39057
Guernsey,111,7,17,39059
Hamilton,9160,248,923,39061
Hancock,320,2,28,39063
Hardin,150,12,27,39065
Harrison,20,1,5,39067
Henry,106,1,10,39069
Highland,132,1,19,39071
Hocking,111,9,22,39073
Holmes,322,6,29,39075
Huron,376,4,34,39077
Jackson,67,0,6,39079
Jefferson,206,3,34,39081
Knox,169,2,23,39083
Lake,1043,36,124,39085
Lawrence,220,0,17,39087
Licking,1125,43,98,39089
Logan,123,1,10,39091
Lorain,1634,76,189,39093
Lucas,4944,318,753,39095
Madison,333,10,32,39097
Mahoning,2411,253,412,39099
Marion,2884,44,98,39101
Medina,835,33,91,39103
Meigs,25,0,1,39105
Mercer,535,13,64,39107
Miami,769,37,76,39109
Monroe,91,18,15,39111
Montgomery,4057,78,586,39113
Morgan,20,0,0,39115
Morrow,158,2,15,39117
Muskingum,181,1,23,39119
Noble,17,0,2,39121
Ottawa,359,25,41,39123
Paulding,61,0,8,39125
Perry,106,2,12,39127
Pickaway,2357,42,87,39129
Pike,66,0,9,39131
Portage,717,60,112,39133
Preble,166,2,24,39135
Putnam,192,17,23,39137
Richland,540,12,74,39139
Ross,401,4,57,39141
Sandusky,332,17,60,39143
Scioto,188,1,21,39145
Seneca,161,3,15,39147
Shelby,160,4,21,39149
Stark,1690,132,241,39151
Summit,3294,217,512,39153
Trumbull,1433,103,289,39155
Tuscarawas,747,13,81,39157
Union,216,1,14,39159
Van Wert,69,1,6,39161
Vinton,30,2,7,39163
Warren,1634,35,142,39165
Washington,197,22,16,39167
Wayne,499,58,66,39169
Williams,124,3,9,39171
Wood,924,58,99,39173
Wyandot,120,7,9,39175
