County,Case Count,Death Count,Hospitalized Count,fips
Adams,53,2,3,39001
Allen,646,42,104,39003
Ashland,130,3,18,39005
Ashtabula,538,45,87,39007
Athens,344,1,19,39009
Auglaize,213,5,20,39011
Belmont,589,26,44,39013
Brown,112,1,10,39015
Butler,2683,59,292,39017
Carroll,107,5,15,39019
Champaign,105,1,10,39021
Clark,1076,13,80,39023
Clermont,835,10,75,39025
Clinton,146,6,21,39027
Columbiana,1570,60,168,39029
Coshocton,185,6,25,39031
Crawford,164,5,27,39033
Cuyahoga,12646,477,2126,39035
Darke,316,27,33,39037
Defiance,129,4,21,39039
Delaware,1194,18,78,39041
Erie,516,27,81,39043
Fairfield,1238,25,106,39045
Fayette,94,0,9,39047
Franklin,17107,514,1454,39049
Fulton,139,1,13,39051
Gallia,57,1,10,39053
Geauga,528,43,93,39055
Greene,619,11,63,39057
Guernsey,110,6,17,39059
Hamilton,9110,247,923,39061
Hancock,315,2,28,39063
Hardin,150,12,27,39065
Harrison,19,1,5,39067
Henry,106,1,10,39069
Highland,127,1,19,39071
Hocking,108,9,22,39073
Holmes,320,6,29,39075
Huron,371,4,34,39077
Jackson,65,0,6,39079
Jefferson,204,3,34,39081
Knox,165,2,22,39083
Lake,1034,35,122,39085
Lawrence,216,0,17,39087
Licking,1116,42,96,39089
Logan,120,1,9,39091
Lorain,1620,76,188,39093
Lucas,4852,318,749,39095
Madison,329,10,32,39097
Mahoning,2393,253,411,39099
Marion,2875,44,96,39101
Medina,831,33,91,39103
Meigs,24,0,1,39105
Mercer,522,13,63,39107
Miami,768,37,76,39109
Monroe,90,18,15,39111
Montgomery,4024,77,582,39113
Morgan,20,0,0,39115
Morrow,158,2,15,39117
Muskingum,178,1,22,39119
Noble,16,0,2,39121
Ottawa,352,25,41,39123
Paulding,59,0,8,39125
Perry,105,2,12,39127
Pickaway,2352,42,87,39129
Pike,66,0,9,39131
Portage,711,60,111,39133
Preble,164,2,24,39135
Putnam,193,17,23,39137
Richland,536,10,73,39139
Ross,387,4,56,39141
Sandusky,329,17,58,39143
Scioto,185,1,21,39145
Seneca,153,3,15,39147
Shelby,157,4,21,39149
Stark,1679,132,240,39151
Summit,3248,217,503,39153
Trumbull,1421,103,288,39155
Tuscarawas,746,13,81,39157
Union,214,1,14,39159
Van Wert,68,1,6,39161
Vinton,30,2,7,39163
Warren,1600,35,139,39165
Washington,197,22,16,39167
Wayne,492,58,66,39169
Williams,123,3,9,39171
Wood,910,58,95,39173
Wyandot,119,5,9,39175
