County,Case Count,Death Count,Hospitalized Count,fips
Adams,44,2,3,39001
Allen,560,41,94,39003
Ashland,118,4,16,39005
Ashtabula,514,44,85,39007
Athens,319,1,16,39009
Auglaize,174,5,17,39011
Belmont,585,26,44,39013
Brown,88,1,9,39015
Butler,2455,56,283,39017
Carroll,97,4,15,39019
Champaign,85,1,9,39021
Clark,1002,11,79,39023
Clermont,725,10,71,39025
Clinton,132,5,19,39027
Columbiana,1507,60,166,39029
Coshocton,175,5,22,39031
Crawford,158,5,27,39033
Cuyahoga,11788,454,2046,39035
Darke,279,26,29,39037
Defiance,115,4,21,39039
Delaware,1073,17,71,39041
Erie,449,24,69,39043
Fairfield,1091,21,100,39045
Fayette,71,0,7,39047
Franklin,15862,494,1349,39049
Fulton,122,0,13,39051
Gallia,44,1,10,39053
Geauga,506,43,89,39055
Greene,554,11,59,39057
Guernsey,99,6,17,39059
Hamilton,8591,233,875,39061
Hancock,245,2,21,39063
Hardin,143,12,25,39065
Harrison,16,1,5,39067
Henry,95,0,7,39069
Highland,96,1,15,39071
Hocking,101,9,20,39073
Holmes,313,5,26,39075
Huron,334,3,30,39077
Jackson,55,0,6,39079
Jefferson,178,2,31,39081
Knox,127,2,17,39083
Lake,929,28,114,39085
Lawrence,186,0,16,39087
Licking,953,26,85,39089
Logan,102,1,8,39091
Lorain,1484,75,184,39093
Lucas,4146,312,721,39095
Madison,276,9,30,39097
Mahoning,2280,248,401,39099
Marion,2825,41,88,39101
Medina,765,32,87,39103
Meigs,23,0,1,39105
Mercer,449,11,53,39107
Miami,681,35,73,39109
Monroe,89,17,15,39111
Montgomery,3567,55,521,39113
Morgan,16,0,0,39115
Morrow,151,1,14,39117
Muskingum,150,1,19,39119
Noble,16,0,2,39121
Ottawa,316,24,36,39123
Paulding,55,0,8,39125
Perry,74,1,9,39127
Pickaway,2314,42,86,39129
Pike,50,0,8,39131
Portage,663,59,107,39133
Preble,126,2,23,39135
Putnam,176,16,22,39137
Richland,487,8,70,39139
Ross,283,5,44,39141
Sandusky,282,15,54,39143
Scioto,138,0,14,39145
Seneca,112,2,13,39147
Shelby,121,4,21,39149
Stark,1533,124,234,39151
Summit,2951,214,481,39153
Trumbull,1312,96,271,39155
Tuscarawas,723,11,80,39157
Union,190,1,12,39159
Van Wert,61,1,6,39161
Vinton,26,2,6,39163
Warren,1421,31,132,39165
Washington,180,21,16,39167
Wayne,447,58,60,39169
Williams,108,3,9,39171
Wood,749,55,89,39173
Wyandot,106,5,9,39175
