County,Case Count,Death Count,Hospitalized Count,fips
Adams,84,3,8,39001
Allen,1001,49,148,39003
Ashland,162,3,22,39005
Ashtabula,594,46,93,39007
Athens,373,2,21,39009
Auglaize,363,8,35,39011
Belmont,672,26,49,39013
Brown,185,2,18,39015
Butler,3459,69,332,39017
Carroll,121,6,16,39019
Champaign,232,2,18,39021
Clark,1341,19,111,39023
Clermont,1140,13,105,39025
Clinton,210,6,33,39027
Columbiana,1765,63,188,39029
Coshocton,209,9,28,39031
Crawford,188,5,28,39033
Cuyahoga,14955,552,2338,39035
Darke,534,31,61,39037
Defiance,188,4,30,39039
Delaware,1516,20,87,39041
Erie,704,33,100,39043
Fairfield,1586,39,127,39045
Fayette,169,1,18,39047
Franklin,20534,553,1753,39049
Fulton,173,1,14,39051
Gallia,114,2,24,39053
Geauga,594,46,99,39055
Greene,871,15,90,39057
Guernsey,128,7,17,39059
Hamilton,10533,281,1036,39061
Hancock,467,5,41,39063
Hardin,204,13,36,39065
Harrison,28,1,5,39067
Henry,154,2,15,39069
Highland,183,3,24,39071
Hocking,131,9,23,39073
Holmes,341,7,32,39075
Huron,462,6,45,39077
Jackson,133,0,12,39079
Jefferson,261,4,52,39081
Knox,234,13,36,39083
Lake,1244,44,145,39085
Lawrence,394,6,42,39087
Licking,1492,56,119,39089
Logan,219,2,17,39091
Lorain,1998,80,211,39093
Lucas,6070,338,824,39095
Madison,649,11,38,39097
Mahoning,2761,262,440,39099
Marion,2978,45,105,39101
Medina,1086,36,106,39103
Meigs,81,0,8,39105
Mercer,772,14,78,39107
Miami,983,40,103,39109
Monroe,102,18,16,39111
Montgomery,5029,115,708,39113
Morgan,41,0,0,39115
Morrow,214,2,18,39117
Muskingum,290,1,29,39119
Noble,21,0,2,39121
Ottawa,435,28,47,39123
Paulding,77,0,9,39125
Perry,199,5,18,39127
Pickaway,2448,42,97,39129
Pike,92,0,11,39131
Portage,819,65,118,39133
Preble,309,3,42,39135
Putnam,261,17,32,39137
Richland,670,16,89,39139
Ross,613,8,80,39141
Sandusky,478,17,68,39143
Scioto,306,1,31,39145
Seneca,292,10,31,39147
Shelby,288,4,29,39149
Stark,2155,149,291,39151
Summit,4146,232,583,39153
Trumbull,1699,114,322,39155
Tuscarawas,829,15,94,39157
Union,325,1,16,39159
Van Wert,79,2,9,39161
Vinton,36,2,8,39163
Warren,2105,41,168,39165
Washington,222,23,17,39167
Wayne,649,61,73,39169
Williams,147,3,9,39171
Wood,1230,60,117,39173
Wyandot,173,10,14,39175
