County,Case Count,Death Count,Hospitalized Count,fips
Adams,79,3,8,39001
Allen,945,47,146,39003
Ashland,162,3,22,39005
Ashtabula,591,46,93,39007
Athens,369,2,21,39009
Auglaize,333,8,33,39011
Belmont,666,26,48,39013
Brown,182,2,18,39015
Butler,3333,69,330,39017
Carroll,119,6,16,39019
Champaign,223,2,18,39021
Clark,1307,17,108,39023
Clermont,1100,12,101,39025
Clinton,196,6,32,39027
Columbiana,1746,63,187,39029
Coshocton,208,9,27,39031
Crawford,185,5,28,39033
Cuyahoga,14673,544,2308,39035
Darke,505,31,59,39037
Defiance,184,4,29,39039
Delaware,1469,19,86,39041
Erie,677,33,99,39043
Fairfield,1538,37,123,39045
Fayette,147,0,17,39047
Franklin,20150,547,1721,39049
Fulton,169,1,14,39051
Gallia,100,2,23,39053
Geauga,586,46,99,39055
Greene,842,14,88,39057
Guernsey,124,7,17,39059
Hamilton,10362,274,1029,39061
Hancock,457,4,40,39063
Hardin,195,12,36,39065
Harrison,28,1,5,39067
Henry,144,2,12,39069
Highland,180,3,23,39071
Hocking,130,9,23,39073
Holmes,339,7,32,39075
Huron,425,6,40,39077
Jackson,102,0,11,39079
Jefferson,259,4,53,39081
Knox,232,13,36,39083
Lake,1216,45,143,39085
Lawrence,380,6,41,39087
Licking,1469,55,117,39089
Logan,201,2,16,39091
Lorain,1965,79,206,39093
Lucas,5909,333,819,39095
Madison,628,11,38,39097
Mahoning,2729,262,435,39099
Marion,2974,46,105,39101
Medina,1038,36,105,39103
Meigs,74,0,7,39105
Mercer,733,14,77,39107
Miami,964,40,100,39109
Monroe,101,18,16,39111
Montgomery,4853,114,689,39113
Morgan,39,0,0,39115
Morrow,204,2,18,39117
Muskingum,289,1,29,39119
Noble,21,0,2,39121
Ottawa,432,28,47,39123
Paulding,76,0,9,39125
Perry,187,5,18,39127
Pickaway,2438,42,97,39129
Pike,90,0,11,39131
Portage,804,65,120,39133
Preble,289,2,40,39135
Putnam,242,17,32,39137
Richland,661,15,89,39139
Ross,592,6,74,39141
Sandusky,492,17,73,39143
Scioto,285,1,30,39145
Seneca,279,10,31,39147
Shelby,272,4,28,39149
Stark,2091,146,284,39151
Summit,3937,231,576,39153
Trumbull,1675,114,317,39155
Tuscarawas,818,15,92,39157
Union,312,1,16,39159
Van Wert,78,2,8,39161
Vinton,35,2,8,39163
Warren,2034,41,165,39165
Washington,218,23,17,39167
Wayne,618,60,72,39169
Williams,143,3,9,39171
Wood,1186,59,116,39173
Wyandot,171,10,14,39175
