County,Case Count,Death Count,Hospitalized Count,fips
Adams,30,2,2,39001
Allen,399,41,81,39003
Ashland,87,3,13,39005
Ashtabula,453,44,81,39007
Athens,220,1,10,39009
Auglaize,113,4,15,39011
Belmont,572,24,44,39013
Brown,64,1,9,39015
Butler,1975,47,252,39017
Carroll,72,3,14,39019
Champaign,61,1,7,39021
Clark,840,10,68,39023
Clermont,552,7,65,39025
Clinton,97,2,18,39027
Columbiana,1411,60,161,39029
Coshocton,155,4,20,39031
Crawford,140,5,21,39033
Cuyahoga,9784,402,1828,39035
Darke,262,26,28,39037
Defiance,58,3,17,39039
Delaware,806,15,61,39041
Erie,317,22,56,39043
Fairfield,773,17,68,39045
Fayette,58,0,7,39047
Franklin,12823,449,1240,39049
Fulton,72,0,12,39051
Gallia,24,1,6,39053
Geauga,447,42,86,39055
Greene,385,9,41,39057
Guernsey,83,4,15,39059
Hamilton,7279,209,812,39061
Hancock,98,1,12,39063
Hardin,126,12,23,39065
Harrison,13,1,4,39067
Henry,38,0,7,39069
Highland,58,1,9,39071
Hocking,90,8,18,39073
Holmes,267,5,25,39075
Huron,271,3,26,39077
Jackson,33,0,3,39079
Jefferson,135,2,25,39081
Knox,61,1,10,39083
Lake,661,22,97,39085
Lawrence,97,0,9,39087
Licking,640,13,70,39089
Logan,75,1,6,39091
Lorain,1226,70,178,39093
Lucas,3162,306,658,39095
Madison,233,9,27,39097
Mahoning,2007,239,386,39099
Marion,2759,39,85,39101
Medina,633,32,80,39103
Meigs,15,0,0,39105
Mercer,307,10,51,39107
Miami,536,31,65,39109
Monroe,89,17,15,39111
Montgomery,2724,38,412,39113
Morgan,13,0,0,39115
Morrow,130,1,10,39117
Muskingum,110,1,18,39119
Noble,14,0,2,39121
Ottawa,235,24,32,39123
Paulding,38,0,8,39125
Perry,52,1,7,39127
Pickaway,2246,42,82,39129
Pike,31,0,7,39131
Portage,518,60,101,39133
Preble,97,1,15,39135
Putnam,148,15,22,39137
Richland,403,7,60,39139
Ross,158,3,32,39141
Sandusky,186,15,44,39143
Scioto,87,0,11,39145
Seneca,44,2,12,39147
Shelby,77,4,19,39149
Stark,1271,116,216,39151
Summit,2459,209,451,39153
Trumbull,1084,79,245,39155
Tuscarawas,641,11,77,39157
Union,128,1,10,39159
Van Wert,51,1,5,39161
Vinton,24,2,6,39163
Warren,1098,27,102,39165
Washington,153,20,14,39167
Wayne,384,56,51,39169
Williams,78,2,7,39171
Wood,519,51,77,39173
Wyandot,68,5,7,39175
