County,Case Count,Death Count,Hospitalized Count,fips
Adams,61,2,4,39001
Allen,740,44,120,39003
Ashland,144,3,21,39005
Ashtabula,569,46,89,39007
Athens,357,1,20,39009
Auglaize,254,6,25,39011
Belmont,621,26,47,39013
Brown,129,2,14,39015
Butler,2929,63,308,39017
Carroll,111,5,15,39019
Champaign,176,2,11,39021
Clark,1146,14,89,39023
Clermont,933,11,81,39025
Clinton,164,6,24,39027
Columbiana,1658,60,179,39029
Coshocton,193,6,25,39031
Crawford,174,5,27,39033
Cuyahoga,13514,499,2204,39035
Darke,395,29,45,39037
Defiance,144,4,21,39039
Delaware,1301,19,81,39041
Erie,575,27,88,39043
Fairfield,1387,32,113,39045
Fayette,113,0,13,39047
Franklin,18317,524,1586,39049
Fulton,148,1,14,39051
Gallia,65,1,11,39053
Geauga,556,44,98,39055
Greene,690,12,71,39057
Guernsey,117,7,17,39059
Hamilton,9643,255,971,39061
Hancock,378,3,32,39063
Hardin,165,12,28,39065
Harrison,26,1,5,39067
Henry,117,2,10,39069
Highland,158,1,19,39071
Hocking,118,9,22,39073
Holmes,328,6,32,39075
Huron,396,5,36,39077
Jackson,74,0,8,39079
Jefferson,229,2,43,39081
Knox,205,7,27,39083
Lake,1114,38,132,39085
Lawrence,283,0,24,39087
Licking,1281,49,106,39089
Logan,155,2,11,39091
Lorain,1770,78,191,39093
Lucas,5348,323,772,39095
Madison,374,10,34,39097
Mahoning,2554,255,422,39099
Marion,2925,45,100,39101
Medina,923,35,95,39103
Meigs,40,0,3,39105
Mercer,612,13,67,39107
Miami,839,38,82,39109
Monroe,93,18,15,39111
Montgomery,4362,94,614,39113
Morgan,26,0,0,39115
Morrow,170,2,17,39117
Muskingum,236,1,25,39119
Noble,16,0,2,39121
Ottawa,386,26,46,39123
Paulding,69,0,8,39125
Perry,130,3,13,39127
Pickaway,2387,42,92,39129
Pike,76,0,11,39131
Portage,758,61,114,39133
Preble,203,2,26,39135
Putnam,205,17,27,39137
Richland,604,12,77,39139
Ross,484,4,62,39141
Sandusky,377,16,61,39143
Scioto,226,1,23,39145
Seneca,214,3,20,39147
Shelby,194,4,24,39149
Stark,1827,139,254,39151
Summit,3555,222,529,39153
Trumbull,1524,106,299,39155
Tuscarawas,782,14,84,39157
Union,251,1,15,39159
Van Wert,71,1,6,39161
Vinton,31,2,7,39163
Warren,1789,39,153,39165
Washington,203,22,16,39167
Wayne,539,58,68,39169
Williams,135,3,9,39171
Wood,1043,58,103,39173
Wyandot,146,8,12,39175
