County,Case Count,Death Count,Hospitalized Count,fips
Adams,22,1,2,39001
Allen,305,40,70,39003
Ashland,58,1,10,39005
Ashtabula,425,44,76,39007
Athens,43,1,6,39009
Auglaize,104,4,14,39011
Belmont,543,22,40,39013
Brown,54,1,8,39015
Butler,1511,44,228,39017
Carroll,58,3,10,39019
Champaign,39,1,4,39021
Clark,761,9,64,39023
Clermont,390,6,54,39025
Clinton,66,0,13,39027
Columbiana,1288,60,151,39029
Coshocton,90,2,13,39031
Crawford,134,5,22,39033
Cuyahoga,7392,372,1532,39035
Darke,245,25,27,39037
Defiance,49,3,17,39039
Delaware,541,15,58,39041
Erie,234,22,43,39043
Fairfield,529,16,60,39045
Fayette,46,0,6,39047
Franklin,9825,417,1094,39049
Fulton,61,0,9,39051
Gallia,14,1,4,39053
Geauga,399,42,85,39055
Greene,244,9,33,39057
Guernsey,67,3,12,39059
Hamilton,5605,197,727,39061
Hancock,78,1,11,39063
Hardin,120,12,22,39065
Harrison,12,1,4,39067
Henry,29,0,3,39069
Highland,44,1,9,39071
Hocking,78,8,16,39073
Holmes,220,3,13,39075
Huron,199,2,19,39077
Jackson,18,0,2,39079
Jefferson,83,2,17,39081
Knox,45,1,9,39083
Lake,480,18,88,39085
Lawrence,67,0,4,39087
Licking,442,12,53,39089
Logan,58,1,6,39091
Lorain,983,67,159,39093
Lucas,2669,302,633,39095
Madison,192,8,24,39097
Mahoning,1805,231,361,39099
Marion,2730,38,84,39101
Medina,506,32,76,39103
Meigs,11,0,0,39105
Mercer,278,8,48,39107
Miami,455,31,59,39109
Monroe,88,17,15,39111
Montgomery,1918,26,304,39113
Morgan,11,0,0,39115
Morrow,116,1,9,39117
Muskingum,76,1,15,39119
Noble,11,0,2,39121
Ottawa,139,23,30,39123
Paulding,23,0,5,39125
Perry,32,1,7,39127
Pickaway,2184,41,69,39129
Pike,22,0,4,39131
Portage,428,58,92,39133
Preble,70,1,12,39135
Putnam,126,15,18,39137
Richland,325,5,49,39139
Ross,113,3,25,39141
Sandusky,126,14,37,39143
Scioto,38,0,6,39145
Seneca,33,2,11,39147
Shelby,64,4,18,39149
Stark,1079,112,200,39151
Summit,2079,206,422,39153
Trumbull,916,65,214,39155
Tuscarawas,529,10,63,39157
Union,80,1,8,39159
Van Wert,32,0,3,39161
Vinton,22,2,6,39163
Warren,814,21,83,39165
Washington,130,20,15,39167
Wayne,359,51,46,39169
Williams,68,2,7,39171
Wood,404,51,70,39173
Wyandot,58,5,7,39175
