County,Case Count,Death Count,Hospitalized Count,fips
Adams,61,2,4,39001
Allen,769,46,125,39003
Ashland,154,3,21,39005
Ashtabula,576,46,93,39007
Athens,360,2,21,39009
Auglaize,263,6,29,39011
Belmont,623,26,47,39013
Brown,146,2,15,39015
Butler,2976,63,309,39017
Carroll,113,5,15,39019
Champaign,181,2,11,39021
Clark,1178,15,94,39023
Clermont,953,11,87,39025
Clinton,169,6,26,39027
Columbiana,1671,60,183,39029
Coshocton,196,7,25,39031
Crawford,175,5,27,39033
Cuyahoga,13734,505,2221,39035
Darke,406,29,45,39037
Defiance,150,4,23,39039
Delaware,1344,19,81,39041
Erie,597,28,91,39043
Fairfield,1416,32,115,39045
Fayette,121,0,13,39047
Franklin,18697,529,1608,39049
Fulton,153,1,14,39051
Gallia,70,1,14,39053
Geauga,559,44,98,39055
Greene,718,12,77,39057
Guernsey,119,7,17,39059
Hamilton,9766,257,986,39061
Hancock,389,3,37,39063
Hardin,170,12,29,39065
Harrison,26,1,5,39067
Henry,122,2,10,39069
Highland,166,1,19,39071
Hocking,118,9,22,39073
Holmes,328,6,32,39075
Huron,404,5,37,39077
Jackson,76,0,8,39079
Jefferson,237,3,45,39081
Knox,212,7,30,39083
Lake,1131,41,136,39085
Lawrence,300,0,28,39087
Licking,1319,51,108,39089
Logan,160,2,11,39091
Lorain,1813,77,192,39093
Lucas,5448,326,777,39095
Madison,401,10,36,39097
Mahoning,2595,255,424,39099
Marion,2935,45,102,39101
Medina,945,35,95,39103
Meigs,54,0,5,39105
Mercer,631,13,71,39107
Miami,858,39,86,39109
Monroe,94,18,15,39111
Montgomery,4438,96,624,39113
Morgan,30,0,0,39115
Morrow,176,2,17,39117
Muskingum,243,1,26,39119
Noble,16,0,2,39121
Ottawa,396,26,48,39123
Paulding,70,0,9,39125
Perry,140,3,15,39127
Pickaway,2391,42,94,39129
Pike,79,0,11,39131
Portage,771,63,115,39133
Preble,207,2,27,39135
Putnam,211,17,28,39137
Richland,614,12,78,39139
Ross,494,4,63,39141
Sandusky,390,17,62,39143
Scioto,242,1,24,39145
Seneca,228,3,20,39147
Shelby,210,4,27,39149
Stark,1884,140,260,39151
Summit,3614,223,537,39153
Trumbull,1549,108,301,39155
Tuscarawas,793,14,85,39157
Union,260,1,15,39159
Van Wert,73,2,6,39161
Vinton,32,2,7,39163
Warren,1821,39,153,39165
Washington,209,22,17,39167
Wayne,545,58,68,39169
Williams,136,3,9,39171
Wood,1068,58,105,39173
Wyandot,150,9,12,39175
