County,Case Count,Death Count,Hospitalized Count,fips
Adams,39,2,3,39001
Allen,486,41,91,39003
Ashland,103,4,13,39005
Ashtabula,489,44,84,39007
Athens,292,1,13,39009
Auglaize,147,5,15,39011
Belmont,578,26,44,39013
Brown,76,1,9,39015
Butler,2230,52,272,39017
Carroll,90,4,14,39019
Champaign,77,1,8,39021
Clark,951,11,77,39023
Clermont,671,9,68,39025
Clinton,119,4,19,39027
Columbiana,1477,62,164,39029
Coshocton,167,4,21,39031
Crawford,153,5,25,39033
Cuyahoga,11015,432,1978,39035
Darke,271,26,29,39037
Defiance,88,4,18,39039
Delaware,977,15,69,39041
Erie,390,22,65,39043
Fairfield,970,18,88,39045
Fayette,64,0,7,39047
Franklin,14736,478,1314,39049
Fulton,102,0,13,39051
Gallia,37,1,6,39053
Geauga,474,43,89,39055
Greene,503,10,49,39057
Guernsey,90,6,17,39059
Hamilton,8071,220,855,39061
Hancock,148,2,15,39063
Hardin,140,12,25,39065
Harrison,14,1,4,39067
Henry,78,0,7,39069
Highland,83,1,13,39071
Hocking,98,9,20,39073
Holmes,297,5,26,39075
Huron,311,3,30,39077
Jackson,49,0,5,39079
Jefferson,162,2,28,39081
Knox,95,2,12,39083
Lake,837,25,105,39085
Lawrence,162,0,13,39087
Licking,808,17,81,39089
Logan,91,1,8,39091
Lorain,1375,75,180,39093
Lucas,3742,308,689,39095
Madison,259,9,30,39097
Mahoning,2187,247,394,39099
Marion,2805,41,87,39101
Medina,709,32,84,39103
Meigs,20,0,1,39105
Mercer,379,11,53,39107
Miami,599,33,66,39109
Monroe,89,17,15,39111
Montgomery,3200,50,472,39113
Morgan,15,0,0,39115
Morrow,138,1,13,39117
Muskingum,125,1,18,39119
Noble,16,0,2,39121
Ottawa,277,24,36,39123
Paulding,46,0,8,39125
Perry,63,1,7,39127
Pickaway,2290,42,85,39129
Pike,43,0,8,39131
Portage,586,59,103,39133
Preble,114,2,20,39135
Putnam,165,16,22,39137
Richland,461,8,67,39139
Ross,212,5,36,39141
Sandusky,240,15,52,39143
Scioto,110,0,13,39145
Seneca,88,2,13,39147
Shelby,96,4,19,39149
Stark,1412,121,227,39151
Summit,2712,212,465,39153
Trumbull,1210,85,255,39155
Tuscarawas,694,11,81,39157
Union,162,1,12,39159
Van Wert,58,1,5,39161
Vinton,25,2,6,39163
Warren,1307,28,121,39165
Washington,171,21,16,39167
Wayne,418,57,55,39169
Williams,96,3,8,39171
Wood,648,54,84,39173
Wyandot,74,5,7,39175
