County,Case Count,Death Count,Hospitalized Count,fips
Adams,37,2,3,39001
Allen,479,41,91,39003
Ashland,103,4,13,39005
Ashtabula,480,44,84,39007
Athens,284,1,11,39009
Auglaize,138,5,15,39011
Belmont,577,25,44,39013
Brown,73,1,9,39015
Butler,2182,51,267,39017
Carroll,88,4,14,39019
Champaign,71,1,8,39021
Clark,924,11,76,39023
Clermont,643,9,67,39025
Clinton,111,3,19,39027
Columbiana,1469,62,164,39029
Coshocton,166,4,21,39031
Crawford,152,5,25,39033
Cuyahoga,10828,431,1961,39035
Darke,266,26,29,39037
Defiance,80,4,17,39039
Delaware,959,15,67,39041
Erie,380,22,61,39043
Fairfield,934,18,83,39045
Fayette,64,0,7,39047
Franklin,14432,475,1299,39049
Fulton,96,0,12,39051
Gallia,33,1,6,39053
Geauga,468,43,89,39055
Greene,485,10,48,39057
Guernsey,89,6,15,39059
Hamilton,8020,219,849,39061
Hancock,140,2,15,39063
Hardin,140,12,24,39065
Harrison,14,1,4,39067
Henry,73,0,7,39069
Highland,77,1,11,39071
Hocking,95,9,20,39073
Holmes,297,5,26,39075
Huron,309,3,30,39077
Jackson,44,0,5,39079
Jefferson,162,2,28,39081
Knox,89,2,12,39083
Lake,823,25,104,39085
Lawrence,152,0,12,39087
Licking,766,16,79,39089
Logan,89,1,8,39091
Lorain,1351,75,178,39093
Lucas,3629,307,683,39095
Madison,257,9,29,39097
Mahoning,2148,247,391,39099
Marion,2794,40,86,39101
Medina,698,32,82,39103
Meigs,21,0,0,39105
Mercer,368,11,53,39107
Miami,588,32,65,39109
Monroe,89,17,15,39111
Montgomery,3083,49,459,39113
Morgan,15,0,0,39115
Morrow,136,1,11,39117
Muskingum,120,1,18,39119
Noble,16,0,2,39121
Ottawa,271,24,36,39123
Paulding,45,0,8,39125
Perry,62,1,7,39127
Pickaway,2283,42,85,39129
Pike,40,0,8,39131
Portage,577,59,103,39133
Preble,110,1,19,39135
Putnam,163,16,22,39137
Richland,450,8,65,39139
Ross,201,5,35,39141
Sandusky,234,15,49,39143
Scioto,106,0,13,39145
Seneca,81,2,13,39147
Shelby,91,4,19,39149
Stark,1391,121,224,39151
Summit,2667,211,459,39153
Trumbull,1179,84,252,39155
Tuscarawas,691,11,81,39157
Union,152,1,12,39159
Van Wert,56,1,5,39161
Vinton,25,2,6,39163
Warren,1272,28,116,39165
Washington,168,21,16,39167
Wayne,412,57,55,39169
Williams,95,3,8,39171
Wood,626,54,82,39173
Wyandot,73,5,7,39175
