County,Case Count,Death Count,Hospitalized Count,fips
Adams,59,2,4,39001
Allen,682,42,115,39003
Ashland,135,3,21,39005
Ashtabula,551,45,89,39007
Athens,352,1,20,39009
Auglaize,233,5,22,39011
Belmont,591,26,44,39013
Brown,120,1,11,39015
Butler,2778,61,296,39017
Carroll,110,5,15,39019
Champaign,151,2,11,39021
Clark,1104,14,85,39023
Clermont,874,11,80,39025
Clinton,154,6,21,39027
Columbiana,1607,60,174,39029
Coshocton,186,6,25,39031
Crawford,168,5,27,39033
Cuyahoga,13011,487,2169,39035
Darke,348,27,39,39037
Defiance,133,4,21,39039
Delaware,1241,18,82,39041
Erie,546,27,84,39043
Fairfield,1285,29,107,39045
Fayette,104,0,11,39047
Franklin,17619,517,1515,39049
Fulton,143,1,13,39051
Gallia,62,1,10,39053
Geauga,540,44,96,39055
Greene,644,11,67,39057
Guernsey,113,7,17,39059
Hamilton,9297,249,940,39061
Hancock,344,3,29,39063
Hardin,158,12,27,39065
Harrison,22,1,5,39067
Henry,110,2,10,39069
Highland,141,1,18,39071
Hocking,114,9,22,39073
Holmes,326,6,30,39075
Huron,383,5,36,39077
Jackson,70,0,8,39079
Jefferson,212,2,37,39081
Knox,189,7,24,39083
Lake,1064,37,129,39085
Lawrence,234,0,21,39087
Licking,1179,47,100,39089
Logan,136,2,10,39091
Lorain,1665,77,190,39093
Lucas,5114,320,763,39095
Madison,343,10,32,39097
Mahoning,2470,253,419,39099
Marion,2901,45,99,39101
Medina,869,35,93,39103
Meigs,29,0,2,39105
Mercer,561,13,65,39107
Miami,788,37,79,39109
Monroe,91,18,15,39111
Montgomery,4114,85,601,39113
Morgan,21,0,0,39115
Morrow,163,2,15,39117
Muskingum,207,1,24,39119
Noble,16,0,2,39121
Ottawa,365,25,45,39123
Paulding,64,0,8,39125
Perry,113,3,12,39127
Pickaway,2374,42,90,39129
Pike,73,0,10,39131
Portage,734,60,114,39133
Preble,175,2,24,39135
Putnam,198,17,24,39137
Richland,559,11,73,39139
Ross,431,4,59,39141
Sandusky,354,16,59,39143
Scioto,204,1,21,39145
Seneca,177,3,17,39147
Shelby,168,4,21,39149
Stark,1756,137,244,39151
Summit,3399,218,520,39153
Trumbull,1465,105,293,39155
Tuscarawas,759,14,81,39157
Union,228,1,14,39159
Van Wert,70,1,6,39161
Vinton,30,2,7,39163
Warren,1689,35,149,39165
Washington,198,22,16,39167
Wayne,517,58,67,39169
Williams,129,3,9,39171
Wood,973,58,101,39173
Wyandot,128,7,11,39175
