County,Case Count,Death Count,Hospitalized Count,fips
Adams,34,2,3,39001
Allen,451,41,88,39003
Ashland,101,4,13,39005
Ashtabula,473,44,82,39007
Athens,268,1,10,39009
Auglaize,126,5,15,39011
Belmont,575,25,44,39013
Brown,68,1,9,39015
Butler,2114,51,263,39017
Carroll,86,4,14,39019
Champaign,68,1,7,39021
Clark,895,11,72,39023
Clermont,618,8,67,39025
Clinton,105,2,19,39027
Columbiana,1458,62,163,39029
Coshocton,164,4,21,39031
Crawford,153,5,25,39033
Cuyahoga,10553,421,1913,39035
Darke,265,26,29,39037
Defiance,75,3,17,39039
Delaware,916,15,63,39041
Erie,363,22,57,39043
Fairfield,897,18,79,39045
Fayette,59,0,7,39047
Franklin,14001,467,1283,39049
Fulton,86,0,12,39051
Gallia,29,1,6,39053
Geauga,465,43,88,39055
Greene,461,10,48,39057
Guernsey,89,4,15,39059
Hamilton,7828,218,845,39061
Hancock,116,2,12,39063
Hardin,136,12,24,39065
Harrison,16,1,4,39067
Henry,59,0,7,39069
Highland,69,1,10,39071
Hocking,92,8,19,39073
Holmes,293,5,25,39075
Huron,290,3,29,39077
Jackson,39,0,3,39079
Jefferson,153,2,28,39081
Knox,74,1,11,39083
Lake,789,24,102,39085
Lawrence,138,0,12,39087
Licking,705,15,75,39089
Logan,82,1,7,39091
Lorain,1322,73,178,39093
Lucas,3486,307,670,39095
Madison,245,9,27,39097
Mahoning,2089,241,388,39099
Marion,2777,39,86,39101
Medina,681,32,81,39103
Meigs,19,0,0,39105
Mercer,345,11,53,39107
Miami,574,31,65,39109
Monroe,89,17,15,39111
Montgomery,2987,46,445,39113
Morgan,14,0,0,39115
Morrow,133,1,10,39117
Muskingum,119,1,18,39119
Noble,16,0,2,39121
Ottawa,264,24,35,39123
Paulding,41,1,8,39125
Perry,59,1,7,39127
Pickaway,2268,42,85,39129
Pike,37,0,8,39131
Portage,561,59,103,39133
Preble,107,1,18,39135
Putnam,161,16,22,39137
Richland,428,8,62,39139
Ross,182,4,33,39141
Sandusky,221,15,48,39143
Scioto,100,0,13,39145
Seneca,66,2,13,39147
Shelby,82,4,19,39149
Stark,1358,120,221,39151
Summit,2597,211,459,39153
Trumbull,1159,83,250,39155
Tuscarawas,682,11,79,39157
Union,142,1,11,39159
Van Wert,53,1,5,39161
Vinton,25,2,6,39163
Warren,1228,28,109,39165
Washington,165,21,15,39167
Wayne,400,56,51,39169
Williams,90,3,7,39171
Wood,593,53,78,39173
Wyandot,72,5,7,39175
