County,Case Count,Death Count,Hospitalized Count,fips
Adams,88,4,10,39001
Allen,1071,51,158,39003
Ashland,162,3,22,39005
Ashtabula,598,46,94,39007
Athens,376,2,21,39009
Auglaize,387,8,36,39011
Belmont,677,26,49,39013
Brown,197,2,20,39015
Butler,3686,73,341,39017
Carroll,125,6,17,39019
Champaign,242,2,20,39021
Clark,1383,23,114,39023
Clermont,1220,14,112,39025
Clinton,232,10,36,39027
Columbiana,1786,64,193,39029
Coshocton,214,9,28,39031
Crawford,191,5,28,39033
Cuyahoga,15316,570,2383,39035
Darke,578,35,65,39037
Defiance,202,5,32,39039
Delaware,1580,20,87,39041
Erie,756,36,107,39043
Fairfield,1653,40,133,39045
Fayette,182,3,20,39047
Franklin,21133,556,1795,39049
Fulton,179,1,14,39051
Gallia,130,3,26,39053
Geauga,605,46,102,39055
Greene,932,16,95,39057
Guernsey,128,7,17,39059
Hamilton,10836,284,1054,39061
Hancock,504,6,43,39063
Hardin,212,13,36,39065
Harrison,28,1,5,39067
Henry,207,3,23,39069
Highland,186,3,24,39071
Hocking,136,9,24,39073
Holmes,349,7,33,39075
Huron,465,6,46,39077
Jackson,153,1,15,39079
Jefferson,264,4,53,39081
Knox,238,13,36,39083
Lake,1285,44,149,39085
Lawrence,416,7,45,39087
Licking,1536,57,119,39089
Logan,227,2,19,39091
Lorain,2059,81,213,39093
Lucas,6256,341,829,39095
Madison,669,11,42,39097
Mahoning,2825,264,452,39099
Marion,2995,46,106,39101
Medina,1139,37,106,39103
Meigs,110,3,11,39105
Mercer,799,17,85,39107
Miami,1022,43,108,39109
Monroe,103,18,16,39111
Montgomery,5301,120,727,39113
Morgan,43,0,1,39115
Morrow,222,2,19,39117
Muskingum,294,1,31,39119
Noble,21,0,2,39121
Ottawa,445,29,48,39123
Paulding,79,0,10,39125
Perry,221,6,20,39127
Pickaway,2470,42,98,39129
Pike,101,0,12,39131
Portage,838,65,118,39133
Preble,328,3,44,39135
Putnam,294,17,37,39137
Richland,689,17,90,39139
Ross,654,10,85,39141
Sandusky,499,17,70,39143
Scioto,330,2,34,39145
Seneca,321,11,34,39147
Shelby,328,4,31,39149
Stark,2250,151,299,39151
Summit,4281,234,597,39153
Trumbull,1735,117,328,39155
Tuscarawas,848,16,96,39157
Union,348,1,17,39159
Van Wert,85,2,9,39161
Vinton,36,2,8,39163
Warren,2198,42,177,39165
Washington,226,23,17,39167
Wayne,693,61,79,39169
Williams,153,3,9,39171
Wood,1288,61,122,39173
Wyandot,181,10,14,39175
