County,Case Count,Death Count,Hospitalized Count,fips
Adams,53,2,3,39001
Allen,603,42,103,39003
Ashland,123,3,17,39005
Ashtabula,530,44,87,39007
Athens,334,1,18,39009
Auglaize,192,5,20,39011
Belmont,588,26,44,39013
Brown,99,1,10,39015
Butler,2605,58,291,39017
Carroll,104,5,15,39019
Champaign,95,1,9,39021
Clark,1046,13,80,39023
Clermont,792,10,73,39025
Clinton,142,6,21,39027
Columbiana,1547,60,166,39029
Coshocton,182,5,25,39031
Crawford,160,5,27,39033
Cuyahoga,12212,465,2101,39035
Darke,308,26,32,39037
Defiance,124,4,21,39039
Delaware,1141,17,73,39041
Erie,488,25,75,39043
Fairfield,1177,22,101,39045
Fayette,80,0,8,39047
Franklin,16630,507,1412,39049
Fulton,133,0,13,39051
Gallia,49,1,11,39053
Geauga,515,43,93,39055
Greene,599,11,61,39057
Guernsey,103,6,17,39059
Hamilton,8872,241,909,39061
Hancock,291,2,26,39063
Hardin,147,12,27,39065
Harrison,19,1,5,39067
Henry,99,1,10,39069
Highland,114,1,18,39071
Hocking,104,9,21,39073
Holmes,315,5,28,39075
Huron,359,4,34,39077
Jackson,63,0,6,39079
Jefferson,191,2,33,39081
Knox,142,2,18,39083
Lake,983,33,120,39085
Lawrence,199,0,16,39087
Licking,1059,31,92,39089
Logan,109,1,9,39091
Lorain,1563,75,186,39093
Lucas,4521,313,729,39095
Madison,308,9,32,39097
Mahoning,2349,249,410,39099
Marion,2855,42,91,39101
Medina,795,33,90,39103
Meigs,23,0,1,39105
Mercer,476,13,55,39107
Miami,728,36,75,39109
Monroe,89,17,15,39111
Montgomery,3845,70,569,39113
Morgan,17,0,0,39115
Morrow,155,2,15,39117
Muskingum,163,1,20,39119
Noble,16,0,2,39121
Ottawa,335,25,40,39123
Paulding,57,0,8,39125
Perry,84,1,10,39127
Pickaway,2342,42,87,39129
Pike,61,0,8,39131
Portage,693,60,110,39133
Preble,140,2,24,39135
Putnam,181,17,22,39137
Richland,509,10,73,39139
Ross,359,5,47,39141
Sandusky,298,16,57,39143
Scioto,167,1,17,39145
Seneca,129,3,15,39147
Shelby,138,4,21,39149
Stark,1619,127,238,39151
Summit,3131,216,498,39153
Trumbull,1374,98,280,39155
Tuscarawas,730,13,80,39157
Union,204,1,14,39159
Van Wert,65,1,6,39161
Vinton,29,2,7,39163
Warren,1517,34,137,39165
Washington,191,21,16,39167
Wayne,472,58,63,39169
Williams,112,3,9,39171
Wood,852,58,93,39173
Wyandot,114,5,9,39175
