County,Case Count,Death Count,Hospitalized Count,fips
Adams,72,2,6,39001
Allen,888,46,139,39003
Ashland,162,3,21,39005
Ashtabula,588,46,93,39007
Athens,368,2,21,39009
Auglaize,301,8,32,39011
Belmont,640,26,47,39013
Brown,165,2,18,39015
Butler,3218,69,318,39017
Carroll,117,5,15,39019
Champaign,205,2,15,39021
Clark,1261,16,102,39023
Clermont,1043,11,95,39025
Clinton,186,6,34,39027
Columbiana,1729,62,186,39029
Coshocton,203,9,26,39031
Crawford,183,5,27,39033
Cuyahoga,14418,528,2277,39035
Darke,476,30,53,39037
Defiance,172,4,25,39039
Delaware,1434,19,86,39041
Erie,637,31,98,39043
Fairfield,1514,35,121,39045
Fayette,134,0,16,39047
Franklin,19683,537,1688,39049
Fulton,165,1,14,39051
Gallia,89,2,22,39053
Geauga,574,46,98,39055
Greene,806,13,84,39057
Guernsey,121,7,17,39059
Hamilton,10184,270,1011,39061
Hancock,433,3,39,39063
Hardin,189,12,34,39065
Harrison,26,1,5,39067
Henry,128,2,11,39069
Highland,174,2,22,39071
Hocking,126,9,23,39073
Holmes,338,7,32,39075
Huron,420,5,38,39077
Jackson,83,0,11,39079
Jefferson,250,3,49,39081
Knox,225,9,34,39083
Lake,1187,43,143,39085
Lawrence,355,5,35,39087
Licking,1431,55,114,39089
Logan,186,2,12,39091
Lorain,1937,77,205,39093
Lucas,5744,329,797,39095
Madison,595,10,37,39097
Mahoning,2691,260,431,39099
Marion,2966,45,102,39101
Medina,1002,36,101,39103
Meigs,69,0,6,39105
Mercer,694,14,73,39107
Miami,921,39,94,39109
Monroe,98,18,15,39111
Montgomery,4716,105,669,39113
Morgan,33,0,0,39115
Morrow,191,2,17,39117
Muskingum,267,1,28,39119
Noble,20,0,2,39121
Ottawa,413,27,48,39123
Paulding,75,0,9,39125
Perry,180,3,16,39127
Pickaway,2421,42,96,39129
Pike,85,0,11,39131
Portage,791,65,120,39133
Preble,259,2,35,39135
Putnam,227,17,32,39137
Richland,652,12,89,39139
Ross,560,6,71,39141
Sandusky,450,17,69,39143
Scioto,274,1,28,39145
Seneca,251,4,24,39147
Shelby,257,4,28,39149
Stark,2023,143,278,39151
Summit,3818,228,561,39153
Trumbull,1637,112,312,39155
Tuscarawas,816,14,91,39157
Union,293,1,16,39159
Van Wert,74,2,6,39161
Vinton,33,2,7,39163
Warren,1962,40,162,39165
Washington,213,22,17,39167
Wayne,604,60,72,39169
Williams,142,3,9,39171
Wood,1162,58,115,39173
Wyandot,159,10,13,39175
