County,Case Count,Death Count,Hospitalized Count,fips
Adams,59,2,4,39001
Allen,718,44,117,39003
Ashland,140,3,21,39005
Ashtabula,559,46,89,39007
Athens,356,1,20,39009
Auglaize,244,6,24,39011
Belmont,614,26,46,39013
Brown,126,2,13,39015
Butler,2861,63,306,39017
Carroll,110,5,15,39019
Champaign,159,2,11,39021
Clark,1133,14,87,39023
Clermont,902,11,81,39025
Clinton,158,6,23,39027
Columbiana,1634,60,177,39029
Coshocton,190,6,25,39031
Crawford,172,5,27,39033
Cuyahoga,13269,498,2187,39035
Darke,385,27,43,39037
Defiance,139,4,21,39039
Delaware,1273,19,81,39041
Erie,564,27,86,39043
Fairfield,1332,31,111,39045
Fayette,110,0,13,39047
Franklin,18006,522,1563,39049
Fulton,147,1,14,39051
Gallia,62,1,11,39053
Geauga,552,44,98,39055
Greene,662,12,68,39057
Guernsey,116,7,17,39059
Hamilton,9493,253,956,39061
Hancock,355,3,31,39063
Hardin,161,12,28,39065
Harrison,24,1,5,39067
Henry,115,2,10,39069
Highland,148,1,18,39071
Hocking,115,9,22,39073
Holmes,327,6,32,39075
Huron,393,5,36,39077
Jackson,73,0,8,39079
Jefferson,219,2,39,39081
Knox,199,7,26,39083
Lake,1087,38,131,39085
Lawrence,267,0,23,39087
Licking,1224,49,102,39089
Logan,145,2,10,39091
Lorain,1713,78,190,39093
Lucas,5207,321,772,39095
Madison,353,10,34,39097
Mahoning,2502,255,421,39099
Marion,2919,45,100,39101
Medina,896,35,94,39103
Meigs,36,0,3,39105
Mercer,591,13,65,39107
Miami,819,38,82,39109
Monroe,91,18,15,39111
Montgomery,4229,91,609,39113
Morgan,25,0,0,39115
Morrow,168,2,17,39117
Muskingum,221,1,25,39119
Noble,16,0,2,39121
Ottawa,371,26,46,39123
Paulding,65,0,8,39125
Perry,121,3,12,39127
Pickaway,2380,42,92,39129
Pike,76,0,10,39131
Portage,746,61,114,39133
Preble,180,2,26,39135
Putnam,202,17,26,39137
Richland,596,11,76,39139
Ross,450,4,61,39141
Sandusky,368,16,60,39143
Scioto,222,1,22,39145
Seneca,196,3,20,39147
Shelby,186,4,23,39149
Stark,1783,139,252,39151
Summit,3486,220,527,39153
Trumbull,1500,106,298,39155
Tuscarawas,772,14,83,39157
Union,237,1,14,39159
Van Wert,71,1,6,39161
Vinton,30,2,7,39163
Warren,1742,38,152,39165
Washington,200,22,16,39167
Wayne,525,58,68,39169
Williams,132,3,9,39171
Wood,1013,58,102,39173
Wyandot,142,8,12,39175
