County,Case Count,Death Count,Hospitalized Count,fips
Adams,24,1,2,39001
Allen,323,41,71,39003
Ashland,60,1,10,39005
Ashtabula,436,44,78,39007
Athens,63,1,8,39009
Auglaize,107,4,14,39011
Belmont,554,22,41,39013
Brown,58,1,8,39015
Butler,1637,47,231,39017
Carroll,59,3,11,39019
Champaign,41,1,4,39021
Clark,772,9,65,39023
Clermont,422,6,57,39025
Clinton,68,0,13,39027
Columbiana,1306,60,156,39029
Coshocton,127,2,15,39031
Crawford,136,5,22,39033
Cuyahoga,8048,379,1612,39035
Darke,253,26,28,39037
Defiance,51,3,17,39039
Delaware,588,15,59,39041
Erie,246,22,45,39043
Fairfield,585,16,64,39045
Fayette,46,0,6,39047
Franklin,10587,431,1147,39049
Fulton,62,0,9,39051
Gallia,18,1,6,39053
Geauga,408,43,85,39055
Greene,276,9,33,39057
Guernsey,74,3,15,39059
Hamilton,6158,204,747,39061
Hancock,79,1,11,39063
Hardin,123,12,23,39065
Harrison,12,1,4,39067
Henry,30,0,4,39069
Highland,45,1,9,39071
Hocking,78,8,16,39073
Holmes,239,3,15,39075
Huron,223,2,22,39077
Jackson,24,0,3,39079
Jefferson,91,2,19,39081
Knox,52,1,10,39083
Lake,508,19,92,39085
Lawrence,72,0,8,39087
Licking,496,12,56,39089
Logan,64,1,6,39091
Lorain,1051,67,166,39093
Lucas,2788,303,635,39095
Madison,199,9,24,39097
Mahoning,1849,238,368,39099
Marion,2734,39,84,39101
Medina,536,32,77,39103
Meigs,12,0,0,39105
Mercer,287,9,49,39107
Miami,472,31,62,39109
Monroe,89,17,15,39111
Montgomery,2134,31,324,39113
Morgan,11,0,0,39115
Morrow,117,1,10,39117
Muskingum,86,1,15,39119
Noble,11,0,2,39121
Ottawa,150,24,31,39123
Paulding,26,0,6,39125
Perry,35,1,7,39127
Pickaway,2201,41,73,39129
Pike,24,0,5,39131
Portage,449,59,94,39133
Preble,78,1,12,39135
Putnam,129,15,19,39137
Richland,347,5,51,39139
Ross,130,3,26,39141
Sandusky,137,14,39,39143
Scioto,45,0,6,39145
Seneca,34,2,11,39147
Shelby,69,4,19,39149
Stark,1133,113,203,39151
Summit,2175,207,427,39153
Trumbull,974,73,225,39155
Tuscarawas,568,10,68,39157
Union,89,1,9,39159
Van Wert,38,0,3,39161
Vinton,22,2,6,39163
Warren,881,24,89,39165
Washington,135,20,15,39167
Wayne,363,52,47,39169
Williams,72,2,7,39171
Wood,436,51,70,39173
Wyandot,59,5,7,39175
