County,Case Count,Death Count,Hospitalized Count,fips
Adams,86,4,10,39001
Allen,1052,51,156,39003
Ashland,162,3,22,39005
Ashtabula,595,46,94,39007
Athens,376,2,21,39009
Auglaize,377,8,35,39011
Belmont,676,26,49,39013
Brown,195,2,20,39015
Butler,3613,72,336,39017
Carroll,123,6,16,39019
Champaign,239,2,20,39021
Clark,1373,21,114,39023
Clermont,1193,13,110,39025
Clinton,224,8,34,39027
Columbiana,1781,63,191,39029
Coshocton,211,9,28,39031
Crawford,190,5,28,39033
Cuyahoga,15192,565,2373,39035
Darke,556,31,64,39037
Defiance,196,5,31,39039
Delaware,1565,20,87,39041
Erie,747,35,107,39043
Fairfield,1630,39,129,39045
Fayette,181,3,20,39047
Franklin,20954,556,1775,39049
Fulton,178,1,14,39051
Gallia,130,2,26,39053
Geauga,598,46,102,39055
Greene,916,16,95,39057
Guernsey,129,7,17,39059
Hamilton,10727,281,1046,39061
Hancock,487,6,43,39063
Hardin,210,13,36,39065
Harrison,28,1,5,39067
Henry,201,3,18,39069
Highland,185,3,24,39071
Hocking,134,9,24,39073
Holmes,343,7,32,39075
Huron,462,6,46,39077
Jackson,148,1,12,39079
Jefferson,263,4,53,39081
Knox,238,13,36,39083
Lake,1267,44,145,39085
Lawrence,400,7,45,39087
Licking,1520,57,119,39089
Logan,225,2,18,39091
Lorain,2045,81,212,39093
Lucas,6197,341,829,39095
Madison,662,11,42,39097
Mahoning,2812,264,450,39099
Marion,2990,46,106,39101
Medina,1119,36,106,39103
Meigs,106,0,10,39105
Mercer,786,17,80,39107
Miami,1004,42,106,39109
Monroe,103,18,16,39111
Montgomery,5215,117,722,39113
Morgan,43,0,0,39115
Morrow,220,2,19,39117
Muskingum,294,1,31,39119
Noble,21,0,2,39121
Ottawa,444,29,48,39123
Paulding,79,0,10,39125
Perry,219,5,20,39127
Pickaway,2462,42,98,39129
Pike,100,0,12,39131
Portage,835,65,118,39133
Preble,323,3,44,39135
Putnam,279,17,33,39137
Richland,687,17,90,39139
Ross,636,10,85,39141
Sandusky,494,17,70,39143
Scioto,317,2,31,39145
Seneca,309,11,34,39147
Shelby,318,4,31,39149
Stark,2218,151,295,39151
Summit,4256,233,595,39153
Trumbull,1725,117,327,39155
Tuscarawas,846,16,96,39157
Union,341,1,17,39159
Van Wert,84,2,9,39161
Vinton,36,2,8,39163
Warren,2173,42,176,39165
Washington,224,23,17,39167
Wayne,685,61,77,39169
Williams,152,3,9,39171
Wood,1271,61,122,39173
Wyandot,178,10,14,39175
