County,Case Count,Death Count,Hospitalized Count,fips
Adams,83,3,8,39001
Allen,962,47,148,39003
Ashland,162,3,22,39005
Ashtabula,592,46,93,39007
Athens,370,2,21,39009
Auglaize,340,8,34,39011
Belmont,671,26,48,39013
Brown,183,2,18,39015
Butler,3374,69,332,39017
Carroll,121,6,16,39019
Champaign,227,2,18,39021
Clark,1312,19,111,39023
Clermont,1117,13,102,39025
Clinton,203,6,33,39027
Columbiana,1755,63,188,39029
Coshocton,209,9,28,39031
Crawford,187,5,28,39033
Cuyahoga,14774,552,2330,39035
Darke,516,31,61,39037
Defiance,184,4,30,39039
Delaware,1483,20,86,39041
Erie,693,33,99,39043
Fairfield,1561,37,125,39045
Fayette,166,0,17,39047
Franklin,20316,551,1739,39049
Fulton,169,1,14,39051
Gallia,101,2,24,39053
Geauga,588,46,99,39055
Greene,854,14,88,39057
Guernsey,126,7,17,39059
Hamilton,10437,276,1033,39061
Hancock,461,5,40,39063
Hardin,199,12,36,39065
Harrison,28,1,5,39067
Henry,150,2,14,39069
Highland,181,3,24,39071
Hocking,130,9,23,39073
Holmes,339,7,32,39075
Huron,459,6,45,39077
Jackson,108,0,11,39079
Jefferson,260,4,52,39081
Knox,232,13,36,39083
Lake,1225,44,145,39085
Lawrence,387,6,42,39087
Licking,1484,55,117,39089
Logan,206,2,16,39091
Lorain,1976,80,207,39093
Lucas,5981,337,824,39095
Madison,632,11,38,39097
Mahoning,2741,262,440,39099
Marion,2974,45,105,39101
Medina,1052,36,105,39103
Meigs,75,0,7,39105
Mercer,741,14,77,39107
Miami,974,40,102,39109
Monroe,101,18,16,39111
Montgomery,4908,115,700,39113
Morgan,40,0,0,39115
Morrow,209,2,18,39117
Muskingum,290,1,29,39119
Noble,22,0,2,39121
Ottawa,432,28,47,39123
Paulding,76,0,9,39125
Perry,192,5,18,39127
Pickaway,2443,42,97,39129
Pike,90,0,11,39131
Portage,807,65,119,39133
Preble,298,2,40,39135
Putnam,248,17,32,39137
Richland,665,15,89,39139
Ross,598,6,75,39141
Sandusky,469,17,68,39143
Scioto,299,1,31,39145
Seneca,282,10,31,39147
Shelby,279,4,29,39149
Stark,2109,147,286,39151
Summit,3980,231,578,39153
Trumbull,1684,114,318,39155
Tuscarawas,822,15,93,39157
Union,317,1,16,39159
Van Wert,77,2,8,39161
Vinton,35,2,8,39163
Warren,2067,41,168,39165
Washington,222,23,17,39167
Wayne,630,61,73,39169
Williams,145,3,9,39171
Wood,1206,60,117,39173
Wyandot,173,10,14,39175
