County,Case Count,Death Count,Hospitalized Count,fips
Adams,59,2,4,39001
Allen,732,44,120,39003
Ashland,143,3,21,39005
Ashtabula,562,46,89,39007
Athens,356,1,20,39009
Auglaize,250,6,24,39011
Belmont,621,26,47,39013
Brown,127,2,14,39015
Butler,2891,63,307,39017
Carroll,111,5,15,39019
Champaign,173,2,11,39021
Clark,1142,14,87,39023
Clermont,921,11,80,39025
Clinton,162,6,23,39027
Columbiana,1656,60,178,39029
Coshocton,192,6,25,39031
Crawford,174,5,27,39033
Cuyahoga,13414,499,2195,39035
Darke,393,29,45,39037
Defiance,142,4,21,39039
Delaware,1292,19,81,39041
Erie,570,27,88,39043
Fairfield,1367,32,112,39045
Fayette,112,0,13,39047
Franklin,18182,523,1577,39049
Fulton,147,1,14,39051
Gallia,65,1,11,39053
Geauga,554,44,98,39055
Greene,684,12,69,39057
Guernsey,116,7,17,39059
Hamilton,9583,255,967,39061
Hancock,372,3,31,39063
Hardin,164,12,28,39065
Harrison,26,1,5,39067
Henry,116,2,10,39069
Highland,156,1,18,39071
Hocking,116,9,22,39073
Holmes,327,6,32,39075
Huron,395,5,36,39077
Jackson,74,0,8,39079
Jefferson,224,2,43,39081
Knox,203,7,26,39083
Lake,1111,38,132,39085
Lawrence,279,0,24,39087
Licking,1260,49,103,39089
Logan,152,2,11,39091
Lorain,1736,78,191,39093
Lucas,5288,323,772,39095
Madison,355,10,34,39097
Mahoning,2532,255,421,39099
Marion,2922,45,100,39101
Medina,914,35,95,39103
Meigs,38,0,3,39105
Mercer,605,13,66,39107
Miami,832,38,82,39109
Monroe,91,18,15,39111
Montgomery,4318,94,612,39113
Morgan,25,0,0,39115
Morrow,168,2,17,39117
Muskingum,225,1,25,39119
Noble,17,0,2,39121
Ottawa,377,26,46,39123
Paulding,67,0,8,39125
Perry,123,3,13,39127
Pickaway,2383,42,92,39129
Pike,76,0,11,39131
Portage,754,61,114,39133
Preble,201,2,26,39135
Putnam,205,17,26,39137
Richland,600,12,77,39139
Ross,468,4,62,39141
Sandusky,373,16,60,39143
Scioto,224,1,23,39145
Seneca,204,3,20,39147
Shelby,190,4,23,39149
Stark,1813,139,254,39151
Summit,3523,222,528,39153
Trumbull,1518,106,299,39155
Tuscarawas,781,14,83,39157
Union,246,1,14,39159
Van Wert,71,1,6,39161
Vinton,31,2,7,39163
Warren,1767,39,152,39165
Washington,202,22,16,39167
Wayne,529,58,68,39169
Williams,134,3,9,39171
Wood,1030,58,103,39173
Wyandot,145,8,12,39175
