County,Case Count,Death Count,Hospitalized Count,fips
Adams,42,2,3,39001
Allen,532,41,94,39003
Ashland,116,4,16,39005
Ashtabula,510,44,85,39007
Athens,318,1,16,39009
Auglaize,173,5,16,39011
Belmont,584,26,44,39013
Brown,83,1,9,39015
Butler,2418,54,284,39017
Carroll,92,4,15,39019
Champaign,84,1,8,39021
Clark,988,11,79,39023
Clermont,723,9,71,39025
Clinton,127,4,19,39027
Columbiana,1492,60,165,39029
Coshocton,173,5,22,39031
Crawford,158,5,27,39033
Cuyahoga,11697,449,2028,39035
Darke,277,26,29,39037
Defiance,110,4,19,39039
Delaware,1060,17,71,39041
Erie,433,24,67,39043
Fairfield,1057,20,95,39045
Fayette,68,0,7,39047
Franklin,15682,489,1342,39049
Fulton,117,0,13,39051
Gallia,43,1,9,39053
Geauga,502,43,89,39055
Greene,545,11,58,39057
Guernsey,98,6,17,39059
Hamilton,8497,225,873,39061
Hancock,238,2,21,39063
Hardin,142,12,25,39065
Harrison,16,1,5,39067
Henry,90,0,7,39069
Highland,95,1,15,39071
Hocking,102,9,20,39073
Holmes,313,5,26,39075
Huron,329,3,30,39077
Jackson,55,0,6,39079
Jefferson,176,2,31,39081
Knox,124,2,16,39083
Lake,914,27,108,39085
Lawrence,182,0,16,39087
Licking,918,25,85,39089
Logan,101,1,8,39091
Lorain,1474,75,182,39093
Lucas,4077,311,716,39095
Madison,271,9,30,39097
Mahoning,2258,244,398,39099
Marion,2821,41,88,39101
Medina,757,32,86,39103
Meigs,23,0,1,39105
Mercer,438,11,53,39107
Miami,659,35,72,39109
Monroe,89,17,15,39111
Montgomery,3501,53,514,39113
Morgan,16,0,0,39115
Morrow,151,1,14,39117
Muskingum,143,1,19,39119
Noble,16,0,2,39121
Ottawa,313,24,36,39123
Paulding,52,0,8,39125
Perry,70,1,9,39127
Pickaway,2308,42,86,39129
Pike,48,0,8,39131
Portage,648,59,105,39133
Preble,123,2,22,39135
Putnam,173,16,22,39137
Richland,480,8,69,39139
Ross,271,5,38,39141
Sandusky,275,15,54,39143
Scioto,132,0,14,39145
Seneca,104,2,13,39147
Shelby,116,4,20,39149
Stark,1516,123,234,39151
Summit,2914,212,477,39153
Trumbull,1300,95,270,39155
Tuscarawas,722,11,80,39157
Union,178,1,11,39159
Van Wert,61,1,6,39161
Vinton,26,2,6,39163
Warren,1400,30,129,39165
Washington,179,21,16,39167
Wayne,446,58,59,39169
Williams,106,3,9,39171
Wood,725,55,89,39173
Wyandot,99,5,10,39175
