County,Case Count,Death Count,Hospitalized Count,fips
Adams,84,3,8,39001
Allen,989,49,148,39003
Ashland,162,3,22,39005
Ashtabula,592,46,93,39007
Athens,372,2,21,39009
Auglaize,352,8,35,39011
Belmont,672,26,49,39013
Brown,185,2,18,39015
Butler,3426,69,332,39017
Carroll,121,6,16,39019
Champaign,230,2,18,39021
Clark,1330,19,111,39023
Clermont,1132,13,103,39025
Clinton,209,6,33,39027
Columbiana,1761,63,188,39029
Coshocton,209,9,28,39031
Crawford,187,5,28,39033
Cuyahoga,14881,552,2337,39035
Darke,528,31,61,39037
Defiance,188,4,30,39039
Delaware,1504,20,87,39041
Erie,699,33,100,39043
Fairfield,1578,39,125,39045
Fayette,168,1,17,39047
Franklin,20443,553,1748,39049
Fulton,171,1,14,39051
Gallia,106,2,24,39053
Geauga,592,46,99,39055
Greene,862,14,90,39057
Guernsey,127,7,17,39059
Hamilton,10503,279,1036,39061
Hancock,468,5,41,39063
Hardin,202,13,36,39065
Harrison,28,1,5,39067
Henry,157,2,15,39069
Highland,182,3,24,39071
Hocking,130,9,23,39073
Holmes,341,7,32,39075
Huron,462,6,45,39077
Jackson,118,0,12,39079
Jefferson,261,4,52,39081
Knox,232,13,36,39083
Lake,1233,44,145,39085
Lawrence,390,6,42,39087
Licking,1489,56,118,39089
Logan,214,2,16,39091
Lorain,1981,80,211,39093
Lucas,6036,338,824,39095
Madison,647,11,38,39097
Mahoning,2752,262,440,39099
Marion,2977,45,105,39101
Medina,1074,36,106,39103
Meigs,79,0,7,39105
Mercer,752,14,78,39107
Miami,979,40,103,39109
Monroe,102,18,16,39111
Montgomery,4984,115,705,39113
Morgan,41,0,0,39115
Morrow,211,2,18,39117
Muskingum,290,1,29,39119
Noble,21,0,2,39121
Ottawa,434,28,47,39123
Paulding,76,0,9,39125
Perry,195,5,18,39127
Pickaway,2445,42,97,39129
Pike,92,0,11,39131
Portage,817,65,118,39133
Preble,299,3,41,39135
Putnam,256,17,32,39137
Richland,667,16,89,39139
Ross,611,8,80,39141
Sandusky,477,17,68,39143
Scioto,309,1,31,39145
Seneca,288,10,31,39147
Shelby,285,4,29,39149
Stark,2144,149,290,39151
Summit,4122,232,581,39153
Trumbull,1695,114,322,39155
Tuscarawas,828,15,93,39157
Union,323,1,16,39159
Van Wert,79,2,9,39161
Vinton,35,2,8,39163
Warren,2090,41,168,39165
Washington,222,23,17,39167
Wayne,644,61,73,39169
Williams,147,3,9,39171
Wood,1216,60,117,39173
Wyandot,173,10,14,39175
