County,Case Count,Death Count,Hospitalized Count,fips
Adams,24,1,2,39001
Allen,321,41,70,39003
Ashland,59,1,10,39005
Ashtabula,435,44,77,39007
Athens,59,1,8,39009
Auglaize,107,4,14,39011
Belmont,549,22,40,39013
Brown,57,1,8,39015
Butler,1599,44,230,39017
Carroll,59,3,11,39019
Champaign,40,1,4,39021
Clark,766,9,65,39023
Clermont,414,6,56,39025
Clinton,68,0,13,39027
Columbiana,1307,60,155,39029
Coshocton,111,2,13,39031
Crawford,135,5,22,39033
Cuyahoga,7883,373,1575,39035
Darke,251,25,28,39037
Defiance,51,3,17,39039
Delaware,582,15,59,39041
Erie,244,22,43,39043
Fairfield,572,16,63,39045
Fayette,46,0,6,39047
Franklin,10410,429,1131,39049
Fulton,61,0,9,39051
Gallia,18,1,6,39053
Geauga,407,42,85,39055
Greene,258,9,33,39057
Guernsey,74,3,15,39059
Hamilton,6019,198,736,39061
Hancock,79,1,11,39063
Hardin,123,12,22,39065
Harrison,12,1,4,39067
Henry,30,0,3,39069
Highland,45,1,9,39071
Hocking,78,8,16,39073
Holmes,236,3,15,39075
Huron,220,2,20,39077
Jackson,23,0,2,39079
Jefferson,88,2,17,39081
Knox,51,1,10,39083
Lake,500,18,90,39085
Lawrence,71,0,6,39087
Licking,493,12,53,39089
Logan,62,1,6,39091
Lorain,1035,67,166,39093
Lucas,2752,302,633,39095
Madison,197,8,24,39097
Mahoning,1832,232,365,39099
Marion,2734,38,84,39101
Medina,523,32,76,39103
Meigs,12,0,0,39105
Mercer,282,9,49,39107
Miami,466,31,61,39109
Monroe,89,17,15,39111
Montgomery,2034,27,311,39113
Morgan,11,0,0,39115
Morrow,116,1,9,39117
Muskingum,83,1,15,39119
Noble,11,0,2,39121
Ottawa,149,23,30,39123
Paulding,25,0,6,39125
Perry,35,1,7,39127
Pickaway,2197,41,72,39129
Pike,23,0,4,39131
Portage,442,58,92,39133
Preble,73,1,12,39135
Putnam,128,15,19,39137
Richland,345,5,50,39139
Ross,127,3,26,39141
Sandusky,136,14,38,39143
Scioto,41,0,6,39145
Seneca,34,2,11,39147
Shelby,68,4,18,39149
Stark,1123,112,202,39151
Summit,2143,206,425,39153
Trumbull,967,70,218,39155
Tuscarawas,567,10,67,39157
Union,86,1,9,39159
Van Wert,35,0,3,39161
Vinton,22,2,6,39163
Warren,860,21,85,39165
Washington,135,20,15,39167
Wayne,363,51,46,39169
Williams,71,2,7,39171
Wood,428,51,70,39173
Wyandot,59,6,7,39175
