County,Case Count,Death Count,Hospitalized Count,fips
Adams,30,2,2,39001
Allen,425,41,86,39003
Ashland,97,3,13,39005
Ashtabula,462,44,82,39007
Athens,250,1,10,39009
Auglaize,120,4,15,39011
Belmont,575,24,44,39013
Brown,66,1,9,39015
Butler,2063,49,262,39017
Carroll,78,3,14,39019
Champaign,65,1,7,39021
Clark,868,11,70,39023
Clermont,588,7,67,39025
Clinton,99,2,18,39027
Columbiana,1433,60,163,39029
Coshocton,160,4,21,39031
Crawford,149,5,24,39033
Cuyahoga,10215,407,1892,39035
Darke,263,26,29,39037
Defiance,68,3,17,39039
Delaware,871,15,63,39041
Erie,340,22,57,39043
Fairfield,834,17,75,39045
Fayette,59,0,7,39047
Franklin,13412,457,1259,39049
Fulton,81,0,12,39051
Gallia,24,1,6,39053
Geauga,453,42,88,39055
Greene,432,9,47,39057
Guernsey,88,4,15,39059
Hamilton,7586,212,839,39061
Hancock,109,1,12,39063
Hardin,133,12,24,39065
Harrison,16,1,4,39067
Henry,47,0,7,39069
Highland,65,1,10,39071
Hocking,91,8,18,39073
Holmes,285,5,25,39075
Huron,278,3,28,39077
Jackson,38,0,3,39079
Jefferson,145,2,27,39081
Knox,72,1,11,39083
Lake,706,23,101,39085
Lawrence,115,0,10,39087
Licking,684,14,73,39089
Logan,78,1,6,39091
Lorain,1277,71,178,39093
Lucas,3296,306,668,39095
Madison,244,9,27,39097
Mahoning,2055,240,387,39099
Marion,2768,39,85,39101
Medina,658,32,81,39103
Meigs,18,0,0,39105
Mercer,320,11,53,39107
Miami,561,31,65,39109
Monroe,89,17,15,39111
Montgomery,2867,44,426,39113
Morgan,14,0,0,39115
Morrow,133,1,10,39117
Muskingum,115,1,18,39119
Noble,15,0,2,39121
Ottawa,243,24,34,39123
Paulding,39,0,8,39125
Perry,55,1,7,39127
Pickaway,2258,42,83,39129
Pike,35,0,8,39131
Portage,542,59,104,39133
Preble,104,1,18,39135
Putnam,156,15,22,39137
Richland,422,7,61,39139
Ross,168,3,32,39141
Sandusky,207,15,47,39143
Scioto,94,0,13,39145
Seneca,54,2,13,39147
Shelby,81,4,19,39149
Stark,1319,118,219,39151
Summit,2538,211,457,39153
Trumbull,1117,81,248,39155
Tuscarawas,662,11,79,39157
Union,134,1,10,39159
Van Wert,53,1,5,39161
Vinton,24,2,6,39163
Warren,1171,28,107,39165
Washington,162,20,15,39167
Wayne,393,56,52,39169
Williams,87,2,7,39171
Wood,544,52,77,39173
Wyandot,72,5,7,39175
