County,Case Count,Death Count,Hospitalized Count,fips
Adams,22,1,2,39001
Allen,315,40,70,39003
Ashland,59,1,10,39005
Ashtabula,433,44,76,39007
Athens,56,1,7,39009
Auglaize,106,4,14,39011
Belmont,546,22,40,39013
Brown,56,1,8,39015
Butler,1576,44,228,39017
Carroll,59,3,11,39019
Champaign,40,1,4,39021
Clark,765,9,65,39023
Clermont,400,6,55,39025
Clinton,68,0,13,39027
Columbiana,1303,60,152,39029
Coshocton,97,2,13,39031
Crawford,135,5,22,39033
Cuyahoga,7724,373,1554,39035
Darke,248,25,27,39037
Defiance,50,3,17,39039
Delaware,568,15,58,39041
Erie,242,22,43,39043
Fairfield,559,16,62,39045
Fayette,46,0,6,39047
Franklin,10271,422,1114,39049
Fulton,61,0,9,39051
Gallia,17,1,4,39053
Geauga,405,42,85,39055
Greene,251,9,33,39057
Guernsey,70,3,13,39059
Hamilton,5924,197,731,39061
Hancock,78,1,11,39063
Hardin,123,12,22,39065
Harrison,12,1,4,39067
Henry,29,0,3,39069
Highland,45,1,9,39071
Hocking,78,8,16,39073
Holmes,231,3,15,39075
Huron,215,2,19,39077
Jackson,23,0,2,39079
Jefferson,87,2,17,39081
Knox,51,1,10,39083
Lake,497,18,89,39085
Lawrence,70,0,6,39087
Licking,477,12,53,39089
Logan,62,1,6,39091
Lorain,1021,67,166,39093
Lucas,2723,302,633,39095
Madison,195,8,24,39097
Mahoning,1825,232,363,39099
Marion,2732,38,84,39101
Medina,516,32,76,39103
Meigs,12,0,0,39105
Mercer,281,8,49,39107
Miami,463,31,60,39109
Monroe,89,17,15,39111
Montgomery,1981,26,306,39113
Morgan,11,0,0,39115
Morrow,116,1,9,39117
Muskingum,83,1,15,39119
Noble,11,0,2,39121
Ottawa,143,23,30,39123
Paulding,23,0,5,39125
Perry,34,1,7,39127
Pickaway,2191,41,70,39129
Pike,23,0,4,39131
Portage,440,58,92,39133
Preble,73,1,12,39135
Putnam,128,15,19,39137
Richland,337,5,50,39139
Ross,124,3,26,39141
Sandusky,134,14,38,39143
Scioto,38,0,6,39145
Seneca,33,2,11,39147
Shelby,68,4,18,39149
Stark,1107,112,202,39151
Summit,2131,206,425,39153
Trumbull,939,65,215,39155
Tuscarawas,552,10,65,39157
Union,85,1,9,39159
Van,1,0,0,
Van Wert,34,0,3,39161
Vinton,22,2,6,39163
Warren,839,21,84,39165
Washington,132,20,15,39167
Wayne,362,51,46,39169
Williams,70,2,7,39171
Wood,421,51,70,39173
Wyandot,58,6,7,39175
