County,Case Count,Death Count,Hospitalized Count,fips
Adams,25,1,2,39001
Allen,348,41,74,39003
Ashland,63,2,10,39005
Ashtabula,445,44,80,39007
Athens,111,1,9,39009
Auglaize,109,4,14,39011
Belmont,567,22,45,39013
Brown,60,1,8,39015
Butler,1767,47,238,39017
Carroll,64,3,13,39019
Champaign,51,1,6,39021
Clark,793,10,66,39023
Clermont,453,7,58,39025
Clinton,79,1,17,39027
Columbiana,1350,60,158,39029
Coshocton,141,3,17,39031
Crawford,138,5,22,39033
Cuyahoga,8786,393,1675,39035
Darke,253,26,28,39037
Defiance,53,3,17,39039
Delaware,675,15,59,39041
Erie,267,22,48,39043
Fairfield,643,17,64,39045
Fayette,55,0,7,39047
Franklin,11433,443,1194,39049
Fulton,66,0,10,39051
Gallia,20,1,6,39053
Geauga,425,43,86,39055
Greene,322,9,34,39057
Guernsey,79,3,15,39059
Hamilton,6563,207,774,39061
Hancock,85,1,11,39063
Hardin,123,12,23,39065
Harrison,12,1,4,39067
Henry,33,0,5,39069
Highland,49,1,9,39071
Hocking,80,9,16,39073
Holmes,257,5,20,39075
Huron,238,2,25,39077
Jackson,27,0,3,39079
Jefferson,105,2,21,39081
Knox,53,1,10,39083
Lake,570,22,94,39085
Lawrence,82,0,8,39087
Licking,560,12,61,39089
Logan,68,1,6,39091
Lorain,1097,69,173,39093
Lucas,2889,305,643,39095
Madison,213,9,25,39097
Mahoning,1907,239,376,39099
Marion,2740,39,84,39101
Medina,566,32,78,39103
Meigs,12,0,0,39105
Mercer,295,10,50,39107
Miami,503,31,62,39109
Monroe,89,17,15,39111
Montgomery,2378,35,367,39113
Morgan,12,0,0,39115
Morrow,121,1,10,39117
Muskingum,96,1,15,39119
Noble,13,0,2,39121
Ottawa,166,24,31,39123
Paulding,28,0,6,39125
Perry,41,1,7,39127
Pickaway,2216,41,76,39129
Pike,27,0,6,39131
Portage,487,59,95,39133
Preble,82,1,14,39135
Putnam,134,15,20,39137
Richland,363,5,54,39139
Ross,139,3,31,39141
Sandusky,157,15,41,39143
Scioto,65,0,7,39145
Seneca,40,2,12,39147
Shelby,74,4,19,39149
Stark,1196,114,205,39151
Summit,2299,209,435,39153
Trumbull,1032,77,237,39155
Tuscarawas,601,10,69,39157
Union,93,1,9,39159
Van Wert,45,1,5,39161
Vinton,23,2,6,39163
Warren,945,25,94,39165
Washington,144,20,15,39167
Wayne,372,53,49,39169
Williams,74,2,7,39171
Wood,474,51,74,39173
Wyandot,62,5,7,39175
