County,Case Count,Death Count,Hospitalized Count,fips
Adams,32,2,2,39001
Allen,440,41,86,39003
Ashland,100,3,13,39005
Ashtabula,464,44,82,39007
Athens,260,1,10,39009
Auglaize,124,4,15,39011
Belmont,574,24,44,39013
Brown,67,1,9,39015
Butler,2091,51,262,39017
Carroll,81,3,14,39019
Champaign,68,1,7,39021
Clark,877,11,72,39023
Clermont,606,7,67,39025
Clinton,104,2,18,39027
Columbiana,1451,60,163,39029
Coshocton,162,4,21,39031
Crawford,151,5,25,39033
Cuyahoga,10438,414,1905,39035
Darke,263,26,29,39037
Defiance,72,3,17,39039
Delaware,902,15,63,39041
Erie,353,22,57,39043
Fairfield,874,17,78,39045
Fayette,59,0,7,39047
Franklin,13778,461,1272,39049
Fulton,83,0,12,39051
Gallia,29,1,6,39053
Geauga,458,42,88,39055
Greene,454,10,47,39057
Guernsey,88,4,15,39059
Hamilton,7703,213,843,39061
Hancock,112,1,12,39063
Hardin,136,12,24,39065
Harrison,16,1,4,39067
Henry,49,0,7,39069
Highland,66,1,10,39071
Hocking,91,8,18,39073
Holmes,289,5,25,39075
Huron,284,3,29,39077
Jackson,39,0,3,39079
Jefferson,147,2,28,39081
Knox,72,1,11,39083
Lake,762,23,101,39085
Lawrence,136,0,12,39087
Licking,697,14,75,39089
Logan,80,1,7,39091
Lorain,1305,71,178,39093
Lucas,3387,306,668,39095
Madison,244,9,27,39097
Mahoning,2073,240,388,39099
Marion,2774,39,86,39101
Medina,670,32,82,39103
Meigs,19,0,0,39105
Mercer,334,11,53,39107
Miami,570,31,65,39109
Monroe,89,17,15,39111
Montgomery,2939,45,439,39113
Morgan,14,0,0,39115
Morrow,133,1,10,39117
Muskingum,118,1,18,39119
Noble,15,0,2,39121
Ohio,1,0,0,
Ottawa,259,24,35,39123
Paulding,39,0,8,39125
Perry,58,1,7,39127
Pickaway,2263,42,84,39129
Pike,37,0,8,39131
Portage,550,59,104,39133
Preble,105,1,18,39135
Putnam,157,16,22,39137
Richland,425,8,62,39139
Ross,173,3,33,39141
Sandusky,208,15,48,39143
Scioto,99,0,13,39145
Seneca,61,2,13,39147
Shelby,81,4,19,39149
Stark,1341,118,220,39151
Summit,2570,211,457,39153
Trumbull,1139,82,249,39155
Tuscarawas,677,11,79,39157
Union,140,1,11,39159
Van Wert,53,1,5,39161
Vinton,25,2,6,39163
Warren,1203,28,109,39165
Washington,164,20,15,39167
Wayne,399,56,51,39169
Williams,87,3,7,39171
Wood,570,52,77,39173
Wyandot,72,5,7,39175
