County,Case Count,Death Count,Hospitalized Count,fips
Adams,40,2,3,39001
Allen,501,41,92,39003
Ashland,107,4,13,39005
Ashtabula,497,44,84,39007
Athens,303,1,13,39009
Auglaize,151,5,16,39011
Belmont,578,26,44,39013
Brown,76,1,9,39015
Butler,2269,53,275,39017
Carroll,93,4,15,39019
Champaign,77,1,8,39021
Clark,964,11,77,39023
Clermont,689,9,68,39025
Clinton,120,4,19,39027
Columbiana,1483,60,164,39029
Coshocton,169,4,21,39031
Crawford,153,5,25,39033
Cuyahoga,11206,435,1993,39035
Darke,272,26,29,39037
Defiance,96,4,19,39039
Delaware,991,16,69,39041
Erie,400,22,65,39043
Fairfield,988,18,91,39045
Fayette,64,0,7,39047
Franklin,14993,484,1323,39049
Fulton,105,0,13,39051
Gallia,39,1,7,39053
Geauga,482,43,89,39055
Greene,507,10,50,39057
Guernsey,95,6,17,39059
Hamilton,8203,224,859,39061
Hancock,177,2,18,39063
Hardin,141,12,24,39065
Harrison,15,1,4,39067
Henry,85,0,7,39069
Highland,87,1,13,39071
Hocking,98,9,20,39073
Holmes,300,5,26,39075
Huron,317,3,30,39077
Jackson,51,0,6,39079
Jefferson,164,2,29,39081
Knox,103,2,13,39083
Lake,851,26,107,39085
Lawrence,164,0,13,39087
Licking,829,19,82,39089
Logan,94,1,8,39091
Lorain,1404,75,182,39093
Lucas,3853,310,702,39095
Madison,262,9,30,39097
Mahoning,2188,241,397,39099
Marion,2807,41,87,39101
Medina,719,32,84,39103
Meigs,22,0,1,39105
Mercer,382,11,53,39107
Miami,616,34,67,39109
Monroe,89,17,15,39111
Montgomery,3283,51,485,39113
Morgan,16,0,0,39115
Morrow,142,1,14,39117
Muskingum,134,1,18,39119
Noble,16,0,2,39121
Ottawa,288,24,37,39123
Paulding,45,0,8,39125
Perry,66,1,8,39127
Pickaway,2298,42,86,39129
Pike,43,0,8,39131
Portage,608,59,103,39133
Preble,113,2,21,39135
Putnam,168,16,22,39137
Richland,465,8,67,39139
Ross,218,5,36,39141
Sandusky,254,15,52,39143
Scioto,115,0,13,39145
Seneca,96,2,13,39147
Shelby,103,4,20,39149
Stark,1449,122,230,39151
Summit,2771,212,468,39153
Trumbull,1242,91,262,39155
Tuscarawas,706,11,81,39157
Union,163,1,13,39159
Van Wert,58,1,5,39161
Vinton,26,2,6,39163
Warren,1326,28,122,39165
Washington,177,21,16,39167
Wayne,421,57,56,39169
Williams,97,3,9,39171
Wood,666,54,85,39173
Wyandot,84,5,7,39175
