County,Case Count,Death Count,Hospitalized Count,fips
Adams,84,4,8,39001
Allen,1010,49,151,39003
Ashland,162,3,22,39005
Ashtabula,595,46,93,39007
Athens,373,2,21,39009
Auglaize,365,8,35,39011
Belmont,674,26,49,39013
Brown,190,2,18,39015
Butler,3478,69,334,39017
Carroll,122,6,16,39019
Champaign,234,2,18,39021
Clark,1351,20,112,39023
Clermont,1153,13,105,39025
Clinton,216,6,33,39027
Columbiana,1771,63,189,39029
Coshocton,209,9,28,39031
Crawford,189,5,28,39033
Cuyahoga,15032,552,2346,39035
Darke,548,31,63,39037
Defiance,191,5,30,39039
Delaware,1527,20,87,39041
Erie,710,33,101,39043
Fairfield,1594,39,128,39045
Fayette,172,1,19,39047
Franklin,20659,554,1759,39049
Fulton,177,1,14,39051
Gallia,121,2,26,39053
Geauga,595,46,100,39055
Greene,885,15,92,39057
Guernsey,128,7,17,39059
Hamilton,10606,281,1036,39061
Hancock,476,5,42,39063
Hardin,204,13,36,39065
Harrison,28,1,5,39067
Henry,172,2,16,39069
Highland,183,3,24,39071
Hocking,131,9,23,39073
Holmes,342,7,32,39075
Huron,462,6,46,39077
Jackson,137,0,12,39079
Jefferson,261,4,52,39081
Knox,236,13,36,39083
Lake,1254,44,145,39085
Lawrence,395,6,43,39087
Licking,1499,56,119,39089
Logan,219,2,17,39091
Lorain,2022,81,212,39093
Lucas,6117,338,827,39095
Madison,654,11,39,39097
Mahoning,2788,262,441,39099
Marion,2986,45,105,39101
Medina,1098,36,106,39103
Meigs,85,0,8,39105
Mercer,772,14,78,39107
Miami,992,40,103,39109
Monroe,102,18,16,39111
Montgomery,5081,116,709,39113
Morgan,43,0,0,39115
Morrow,214,2,18,39117
Muskingum,291,1,29,39119
Noble,21,0,2,39121
Ottawa,435,28,47,39123
Paulding,77,0,9,39125
Perry,207,5,19,39127
Pickaway,2448,42,97,39129
Pike,93,0,12,39131
Portage,828,65,118,39133
Preble,317,3,43,39135
Putnam,266,17,32,39137
Richland,674,16,90,39139
Ross,619,9,81,39141
Sandusky,483,17,68,39143
Scioto,308,1,31,39145
Seneca,297,10,32,39147
Shelby,293,4,30,39149
Stark,2166,149,291,39151
Summit,4188,232,586,39153
Trumbull,1710,115,323,39155
Tuscarawas,834,15,96,39157
Union,330,1,16,39159
Van Wert,80,2,9,39161
Vinton,36,2,8,39163
Warren,2130,41,169,39165
Washington,222,23,17,39167
Wayne,657,61,74,39169
Williams,149,3,9,39171
Wood,1243,60,119,39173
Wyandot,175,10,14,39175
